action step time popS popI popR
- 0 0.0 70 5 0
SIR 1 2.314260248253055 69 6 0
SIR 2 3.8702193458551832 69 5 1
SIR 3 4.0622468553839415 69 4 2
SIR 4 4.194771992436711 68 5 2
SIR 5 4.565062857155833 68 4 3
SIR 6 6.655109877927657 67 5 3
SIR 7 7.704642387798096 66 6 3
SIR 8 7.748934016895951 65 7 3
SIR 9 7.909056615374339 64 8 3
SIR 10 8.384538617309282 64 7 4
SIR 11 9.970537263135352 63 8 4
SIR 12 10.091229025536434 63 7 5
SIR 13 11.052368255865042 62 8 5
SIR 14 11.129885231804742 61 9 5
SIR 15 13.425257606467628 61 8 6
SIR 16 13.435854755352528 61 7 7
SIR 17 13.805784998750312 60 8 7
SIR 18 14.687362044779094 60 7 8
SIR 19 14.987623072656028 59 8 8
SIR 20 16.795955521889084 59 7 9
SIR 21 19.516954037783222 58 8 9
SIR 22 20.552398416765534 58 7 10
SIR 23 22.222604423090424 58 6 11
SIR 24 22.94508690221214 58 5 12
SIR 25 24.803005760330922 57 6 12
SIR 26 24.97176219301901 57 5 13
SIR 27 26.239812639512127 57 4 14
SIR 28 26.45729420024358 56 5 14
SIR 29 27.527134759670172 55 6 14
SIR 30 27.772312117078705 54 7 14
SIR 31 28.150260956264837 54 6 15
SIR 32 28.861797848482524 53 7 15
SIR 33 31.923140296342872 53 6 16
SIR 34 33.51327648635404 53 5 17
SIR 35 34.733651548394555 52 6 17
SIR 36 36.01374897941936 52 5 18
SIR 37 37.19488337260034 52 4 19
SIR 38 39.20297653803978 52 3 20
SIR 39 40.815212621915634 51 4 20
SIR 40 41.83369141372138 51 3 21
SIR 41 46.08988555420787 51 2 22
SIR 42 47.23267885692732 50 3 22
SIR 43 52.133189531122646 49 4 22
SIR 44 52.45842470958105 49 3 23
SIR 45 52.940218116065154 49 2 24
SIR 46 56.04126600916769 48 3 24
SIR 47 58.74469352703871 48 2 25
SIR 48 60.916927787839555 47 3 25
SIR 49 65.29570773498673 47 2 26
SIR 50 71.60386551557397 47 1 27
SIR 51 78.70077284943488 47 0 28
