action step time popS popI popR
- 0 0.0 195 5 0
SIR 1 0.7154495138291757 194 6 0
SIR 2 1.0504808893376065 193 7 0
SIR 3 1.507502908130632 192 8 0
SIR 4 2.1949050953748586 191 9 0
SIR 5 2.7560533793241584 190 10 0
SIR 6 3.011019351099658 189 11 0
SIR 7 3.2576994383769917 188 12 0
SIR 8 3.7987389178455997 188 11 1
SIR 9 4.904927573597683 187 12 1
SIR 10 4.936898367831304 186 13 1
SIR 11 5.220070682602151 185 14 1
SIR 12 5.413192524601745 184 15 1
SIR 13 5.42552194847628 183 16 1
SIR 14 6.44751561402881 182 17 1
SIR 15 6.4865028997976495 181 18 1
SIR 16 6.514194181691778 181 17 2
SIR 17 6.677463782917365 180 18 2
SIR 18 6.772062694426069 179 19 2
SIR 19 6.8047478767525735 178 20 2
SIR 20 6.839910652886867 178 19 3
SIR 21 7.621024639785207 177 20 3
SIR 22 7.762137686673713 176 21 3
SIR 23 8.54542720276032 175 22 3
SIR 24 9.000564802989155 174 23 3
SIR 25 9.392279499978986 173 24 3
SIR 26 9.437952472540571 172 25 3
SIR 27 9.475020505329864 171 26 3
SIR 28 9.61381617280727 170 27 3
SIR 29 9.833288759967505 169 28 3
SIR 30 9.99277465534071 168 29 3
SIR 31 10.367427106415878 167 30 3
SIR 32 10.579249526137872 167 29 4
SIR 33 10.594429694830657 166 30 4
SIR 34 10.674207686809558 166 29 5
SIR 35 10.763692169671337 166 28 6
SIR 36 10.796888346302852 165 29 6
SIR 37 10.830801680472787 164 30 6
SIR 38 10.839216111023502 164 29 7
SIR 39 10.855022851251546 164 28 8
SIR 40 11.256917580642046 164 27 9
SIR 41 11.567383555133853 164 26 10
SIR 42 11.717460352871466 164 25 11
SIR 43 11.889938324589968 164 24 12
SIR 44 12.243430486133555 163 25 12
SIR 45 12.327991307189738 162 26 12
SIR 46 12.328142325886345 161 27 12
SIR 47 12.336653315434875 160 28 12
SIR 48 12.397711504867223 160 27 13
SIR 49 12.507094592009393 160 26 14
SIR 50 12.829398409887194 159 27 14
SIR 51 12.927869557099271 158 28 14
SIR 52 12.95927222049223 157 29 14
SIR 53 13.06322624572347 156 30 14
SIR 54 13.099123800584152 156 29 15
SIR 55 13.183677893450678 156 28 16
SIR 56 13.308689224896856 155 29 16
SIR 57 13.447354199298717 155 28 17
