action step time popS popI popR
- 0 0.0 145 5 0
SIR 1 1.2058754920432468 145 4 1
SIR 2 4.2469293793402185 144 5 1
SIR 3 5.373355841557664 144 4 2
SIR 4 6.556059161749033 144 3 3
SIR 5 9.579424869965358 143 4 3
SIR 6 9.622683144750786 143 3 4
SIR 7 17.369330363475285 143 2 5
SIR 8 17.977099753236946 142 3 5
SIR 9 18.60316969482105 142 2 6
SIR 10 22.040602922776966 141 3 6
SIR 11 22.210909525145603 140 4 6
SIR 12 23.018937863303897 139 5 6
SIR 13 23.896177395384154 139 4 7
SIR 14 25.989967264038846 138 5 7
SIR 15 26.087738577646636 137 6 7
SIR 16 26.148016992407072 136 7 7
SIR 17 26.84493907834678 135 8 7
SIR 18 27.023735520555118 135 7 8
SIR 19 29.035952052299027 134 8 8
SIR 20 29.495845173052096 134 7 9
SIR 21 29.954771809678288 134 6 10
SIR 22 30.352245098200573 133 7 10
SIR 23 30.523874531231613 133 6 11
SIR 24 31.1858439905168 133 5 12
SIR 25 32.056794288050085 133 4 13
SIR 26 35.35437621762703 133 3 14
SIR 27 38.03349171154768 133 2 15
SIR 28 42.414814138738095 133 1 16
SIR 29 46.0234974618057 132 2 16
SIR 30 46.988293612492924 131 3 16
SIR 31 49.196073363446274 130 4 16
SIR 32 49.2613694377427 129 5 16
SIR 33 49.4112990075916 128 6 16
SIR 34 50.20389255493107 127 7 16
SIR 35 50.38573084187441 126 8 16
SIR 36 50.39324491544871 125 9 16
SIR 37 50.67035825622163 124 10 16
SIR 38 50.88220114353965 123 11 16
SIR 39 51.30273546727177 122 12 16
SIR 40 52.15791497706878 122 11 17
SIR 41 53.647930520274514 121 12 17
SIR 42 54.00707781145069 120 13 17
SIR 43 54.24807550534738 119 14 17
SIR 44 54.58684386674674 118 15 17
SIR 45 55.877842783833024 117 16 17
SIR 46 55.964256630613235 117 15 18
SIR 47 56.46471665525324 117 14 19
SIR 48 56.91118367669066 117 13 20
SIR 49 57.07381565681417 116 14 20
SIR 50 57.43875689204842 116 13 21
SIR 51 58.00094884883195 116 12 22
SIR 52 58.005848755466445 115 13 22
SIR 53 58.86744398732444 115 12 23
SIR 54 59.00375709624123 115 11 24
SIR 55 59.42867598247932 114 12 24
SIR 56 59.48464383521236 113 13 24
SIR 57 60.21509597581165 112 14 24
SIR 58 60.30805130756785 111 15 24
SIR 59 60.46499342369781 110 16 24
SIR 60 60.78462886851254 110 15 25
SIR 61 61.04776247445402 110 14 26
SIR 62 61.38107194778621 109 15 26
SIR 63 61.401562430965754 108 16 26
SIR 64 61.747503498986596 108 15 27
SIR 65 61.81135376056704 108 14 28
SIR 66 61.89638271815398 108 13 29
SIR 67 62.005583456721936 108 12 30
SIR 68 62.13047511273904 108 11 31
SIR 69 62.2621158790416 108 10 32
SIR 70 63.30068155608608 108 9 33
SIR 71 63.32682019959071 107 10 33
SIR 72 63.403964124302746 106 11 33
SIR 73 63.839845388267605 106 10 34
SIR 74 63.99668395555404 105 11 34
SIR 75 64.04525049401029 105 10 35
SIR 76 64.87990490061858 105 9 36
SIR 77 65.27071928384782 105 8 37
SIR 78 66.04813356684981 105 7 38
SIR 79 66.83200762890101 104 8 38
SIR 80 66.93137922869992 104 7 39
SIR 81 66.95023086316309 104 6 40
SIR 82 68.53561426860401 104 5 41
SIR 83 69.46143390919029 103 6 41
SIR 84 70.14685507345443 103 5 42
SIR 85 70.3191153791257 103 4 43
SIR 86 71.0275487278248 103 3 44
SIR 87 73.15682547356111 102 4 44
SIR 88 73.16667047044182 101 5 44
SIR 89 73.7369024107219 101 4 45
SIR 90 74.24067096358237 101 3 46
SIR 91 75.11658556313101 101 2 47
SIR 92 75.34723806964098 101 1 48
SIR 93 86.52205636546259 100 2 48
SIR 94 92.46928690957327 100 1 49
SIR 95 92.8344083834851 100 0 50
