action step time popS popI popR
- 0 0.0 120 5 0
SIR 1 0.4653094459142681 120 4 1
SIR 2 0.9967606274443461 120 3 2
SIR 3 4.398400763586384 120 2 3
SIR 4 4.8879940768609185 119 3 3
SIR 5 4.9460310906044755 118 4 3
SIR 6 6.95633854795712 117 5 3
SIR 7 7.288725326225921 117 4 4
SIR 8 7.786041214110022 117 3 5
SIR 9 7.874191351333176 116 4 5
SIR 10 7.980329942832603 116 3 6
SIR 11 9.665011390742812 116 2 7
SIR 12 9.746470992015565 115 3 7
SIR 13 11.170873090995071 115 2 8
SIR 14 12.406657516973068 114 3 8
SIR 15 12.447191597791166 113 4 8
SIR 16 13.164585212378373 113 3 9
SIR 17 16.0615907568586 112 4 9
SIR 18 18.46665381480415 111 5 9
SIR 19 18.497157608599927 110 6 9
SIR 20 19.293902208524297 109 7 9
SIR 21 21.999352282186045 108 8 9
SIR 22 23.155676104818546 107 9 9
SIR 23 23.299979746092664 107 8 10
SIR 24 24.08188723394918 106 9 10
SIR 25 24.0931156106601 106 8 11
SIR 26 24.3168522269834 105 9 11
SIR 27 24.687257496752697 104 10 11
SIR 28 25.096815551743727 104 9 12
SIR 29 25.315105090584204 104 8 13
SIR 30 26.83555867346604 103 9 13
SIR 31 27.58056200704856 103 8 14
SIR 32 28.412409349817793 102 9 14
SIR 33 28.4828861544269 102 8 15
SIR 34 29.2054305854149 102 7 16
SIR 35 29.572544283598496 101 8 16
SIR 36 29.799895311780777 101 7 17
SIR 37 30.03269608680918 100 8 17
SIR 38 30.117249998229465 99 9 17
SIR 39 30.41279731530044 98 10 17
SIR 40 30.519355773529846 97 11 17
SIR 41 31.896832753085725 97 10 18
SIR 42 32.363639912368576 96 11 18
SIR 43 32.506012460603415 95 12 18
SIR 44 33.19516599239847 95 11 19
SIR 45 34.38607350311103 95 10 20
SIR 46 35.01857255730177 95 9 21
SIR 47 36.73728500333426 95 8 22
SIR 48 37.022207568661614 95 7 23
SIR 49 37.39544785914015 95 6 24
SIR 50 38.31388864103395 94 7 24
SIR 51 38.53635026910305 93 8 24
SIR 52 39.9760221057097 92 9 24
SIR 53 40.55031380129214 91 10 24
SIR 54 40.63675817601633 90 11 24
SIR 55 40.86518634121566 90 10 25
SIR 56 41.22196430480108 90 9 26
SIR 57 41.54834159547673 89 10 26
SIR 58 42.27089745632264 89 9 27
SIR 59 42.32380640970876 89 8 28
SIR 60 42.67243937619058 89 7 29
SIR 61 42.976490611223355 89 6 30
SIR 62 43.37587587619686 88 7 30
SIR 63 43.69321527153371 87 8 30
SIR 64 44.299262650797345 86 9 30
SIR 65 44.5570376990315 86 8 31
SIR 66 45.13521259830667 85 9 31
SIR 67 46.932039724725485 85 8 32
SIR 68 47.045423313837524 85 7 33
SIR 69 48.07584443424942 85 6 34
SIR 70 48.20275937304864 85 5 35
SIR 71 49.51054300562815 85 4 36
SIR 72 50.173737603160674 84 5 36
SIR 73 51.86502265487305 83 6 36
SIR 74 53.8716214379607 83 5 37
SIR 75 54.15037823680984 82 6 37
SIR 76 54.567028559958814 82 5 38
SIR 77 55.36202357683893 82 4 39
SIR 78 56.88930761976923 82 3 40
SIR 79 57.61252080066008 82 2 41
SIR 80 64.9564320324152 82 1 42
SIR 81 74.65682779597815 82 0 43
