action step time popS popI popR
- 0 0.0 70 5 0
SIR 1 0.49122829593178746 70 4 1
SIR 2 1.8937639580680605 69 5 1
SIR 3 5.049924708876635 68 6 1
SIR 4 5.22488908834268 68 5 2
SIR 5 5.246300235002156 68 4 3
SIR 6 5.632748867054173 68 3 4
SIR 7 7.970342538056913 68 2 5
SIR 8 8.694733867270626 67 3 5
SIR 9 9.053528281199172 67 2 6
SIR 10 20.300137310777153 66 3 6
SIR 11 20.584368432014003 66 2 7
SIR 12 26.708952842133808 65 3 7
SIR 13 28.016145610595547 65 2 8
SIR 14 29.734162016347195 65 1 9
SIR 15 34.47959766096301 65 0 10
