action step time popS popI popR
- 0 0.0 170 5 0
SIR 1 0.3692729461236577 170 4 1
SIR 2 0.4467156515188271 169 5 1
SIR 3 0.7853095123619322 168 6 1
SIR 4 0.9856546628737589 168 5 2
SIR 5 2.391880794693483 168 4 3
SIR 6 2.4207942062994454 167 5 3
SIR 7 3.9527354007896935 167 4 4
SIR 8 4.932738392111196 167 3 5
SIR 9 6.929637012072487 166 4 5
SIR 10 7.771977425956976 166 3 6
SIR 11 8.298604905212407 166 2 7
SIR 12 11.566594342463507 165 3 7
SIR 13 16.019770580135834 164 4 7
SIR 14 17.903850130133865 164 3 8
SIR 15 17.930341337611218 164 2 9
SIR 16 19.968541168724176 163 3 9
SIR 17 20.17357559890602 163 2 10
SIR 18 20.53773348192697 162 3 10
SIR 19 23.95286447688162 162 2 11
SIR 20 24.413648027803994 162 1 12
SIR 21 27.921707863219282 162 0 13
