action step time popS popI popR
- 0 0.0 95 5 0
SIR 1 0.218243235282978 95 4 1
SIR 2 1.171393936600089 94 5 1
SIR 3 3.1558002520305477 93 6 1
SIR 4 3.395770313751702 92 7 1
SIR 5 3.613110739547018 91 8 1
SIR 6 3.770629400597181 90 9 1
SIR 7 3.7845951345080153 90 8 2
SIR 8 5.738401439276053 89 9 2
SIR 9 6.234071334696785 89 8 3
SIR 10 6.476749086851032 88 9 3
SIR 11 8.150890336660238 88 8 4
SIR 12 9.954816572062953 88 7 5
SIR 13 10.49775603609896 87 8 5
SIR 14 11.364693009694252 86 9 5
SIR 15 12.268519539487801 86 8 6
SIR 16 12.835888666911412 85 9 6
SIR 17 13.195178733249858 85 8 7
SIR 18 13.39012081349109 84 9 7
SIR 19 13.408696129337882 84 8 8
SIR 20 13.417109684665457 83 9 8
SIR 21 13.632892824885522 83 8 9
SIR 22 13.98429422352079 83 7 10
SIR 23 14.246084580567661 83 6 11
SIR 24 14.728871717933762 82 7 11
SIR 25 15.546964728629337 81 8 11
SIR 26 15.586120406941951 81 7 12
SIR 27 17.446210275954442 81 6 13
SIR 28 19.506025440178565 81 5 14
SIR 29 20.42371548347868 80 6 14
SIR 30 21.99499656807296 80 5 15
SIR 31 23.19702751242866 80 4 16
SIR 32 25.484993004459614 80 3 17
SIR 33 25.49270379757671 79 4 17
SIR 34 28.990736268025525 79 3 18
SIR 35 30.77750501673245 79 2 19
SIR 36 30.811027318415555 79 1 20
SIR 37 37.070959812328915 79 0 21
