action step time popS popI popR
- 0 0.0 195 5 0
SIR 1 0.5085122303030478 195 4 1
SIR 2 0.6226299318943627 194 5 1
SIR 3 1.7927807839284233 193 6 1
SIR 4 1.8796241785339585 192 7 1
SIR 5 2.592439953759688 192 6 2
SIR 6 2.8614277041676015 191 7 2
SIR 7 3.02950656089026 190 8 2
SIR 8 3.149476146462237 190 7 3
SIR 9 3.24455049452239 190 6 4
SIR 10 3.357051198244028 189 7 4
SIR 11 3.629231089564723 188 8 4
SIR 12 4.011108107277197 188 7 5
SIR 13 4.080801325413809 187 8 5
SIR 14 6.010880970362991 187 7 6
SIR 15 7.354265352732593 186 8 6
SIR 16 8.091870177570396 185 9 6
SIR 17 8.734869868512204 185 8 7
SIR 18 8.814195729602323 184 9 7
SIR 19 9.017513209752407 183 10 7
SIR 20 9.293763970099748 182 11 7
SIR 21 9.453317986019176 181 12 7
SIR 22 9.523181187815652 181 11 8
SIR 23 9.569365780645974 180 12 8
SIR 24 9.996674046948016 180 11 9
SIR 25 10.004184730230415 179 12 9
SIR 26 11.08481393753253 178 13 9
SIR 27 11.435203722408398 178 12 10
SIR 28 11.523006601439725 177 13 10
SIR 29 12.150326315592878 176 14 10
SIR 30 12.200151867148293 175 15 10
SIR 31 12.294234729063938 174 16 10
SIR 32 12.313888121382663 173 17 10
SIR 33 12.418374264477578 173 16 11
SIR 34 12.490951317522612 172 17 11
SIR 35 12.950671990831445 171 18 11
SIR 36 12.9772910445539 171 17 12
SIR 37 12.978876223685877 170 18 12
SIR 38 13.188166683886212 170 17 13
SIR 39 13.198622409769467 169 18 13
SIR 40 13.228250512277054 168 19 13
SIR 41 13.362979233201838 167 20 13
SIR 42 13.606384044903981 166 21 13
SIR 43 13.74493379695129 166 20 14
SIR 44 13.863025243415056 165 21 14
SIR 45 13.894717852553697 164 22 14
SIR 46 13.931908963241069 163 23 14
SIR 47 14.133342955564926 162 24 14
SIR 48 14.156515100280934 161 25 14
SIR 49 14.184717879386989 160 26 14
SIR 50 14.24319749658018 160 25 15
SIR 51 14.33753113016196 159 26 15
SIR 52 14.41893108489845 158 27 15
SIR 53 14.487216098605096 158 26 16
SIR 54 14.506154500691089 157 27 16
SIR 55 14.672514784626365 156 28 16
SIR 56 14.68889833935878 156 27 17
SIR 57 14.737222075681004 155 28 17
SIR 58 14.753553733950053 155 27 18
SIR 59 14.795834231965406 154 28 18
SIR 60 14.804618765263085 154 27 19
SIR 61 14.88768088768691 154 26 20
SIR 62 15.240713174957193 154 25 21
SIR 63 15.788969848831831 154 24 22
SIR 64 15.892767523482242 153 25 22
SIR 65 15.996067819652469 152 26 22
SIR 66 16.33809192218964 151 27 22
SIR 67 16.503760087170964 150 28 22
SIR 68 16.552294154697318 149 29 22
SIR 69 16.743274006184457 149 28 23
SIR 70 16.834057075480118 149 27 24
SIR 71 16.938943827954322 149 26 25
SIR 72 17.397564487684008 149 25 26
SIR 73 17.488746561765392 148 26 26
SIR 74 17.535344132505852 147 27 26
SIR 75 17.601299322577034 146 28 26
SIR 76 17.711509439548646 145 29 26
SIR 77 17.776811568417912 145 28 27
SIR 78 17.848474732032617 144 29 27
SIR 79 18.22557488732309 144 28 28
SIR 80 18.398907527144843 143 29 28
SIR 81 18.42207777906306 143 28 29
SIR 82 18.444026180885928 143 27 30
SIR 83 18.512651966617884 143 26 31
SIR 84 18.59909976410988 143 25 32
SIR 85 19.045705575950638 142 26 32
SIR 86 19.073659240019232 141 27 32
SIR 87 19.22216346246506 140 28 32
SIR 88 19.224965421341125 140 27 33
SIR 89 19.23865818303825 140 26 34
SIR 90 19.389140018703333 139 27 34
SIR 91 19.422176003057753 138 28 34
SIR 92 19.81925465585684 138 27 35
SIR 93 19.826410822514735 137 28 35
SIR 94 19.856834131008643 136 29 35
SIR 95 19.86720871385507 135 30 35
SIR 96 19.873792535831278 135 29 36
SIR 97 19.88234360767819 135 28 37
SIR 98 20.2407164753432 134 29 37
SIR 99 20.24532053452521 134 28 38
SIR 100 20.33375923288565 133 29 38
SIR 101 20.541058154520528 132 30 38
SIR 102 20.555397470394414 131 31 38
SIR 103 20.658481249763753 130 32 38
SIR 104 20.884326014088064 129 33 38
SIR 105 20.91824340203378 128 34 38
SIR 106 21.16352279230378 127 35 38
SIR 107 21.348577149389236 126 36 38
SIR 108 21.50647511574629 126 35 39
SIR 109 21.551573764040636 125 36 39
SIR 110 22.00415237902553 125 35 40
SIR 111 22.052509602161553 125 34 41
SIR 112 22.0564814857504 124 35 41
SIR 113 22.143215819046826 123 36 41
SIR 114 22.275310232613105 123 35 42
SIR 115 22.63187298426284 122 36 42
SIR 116 22.694790456031317 122 35 43
SIR 117 22.715562720349503 121 36 43
SIR 118 23.00675731556018 120 37 43
SIR 119 23.05328182284127 119 38 43
SIR 120 23.065978113221234 119 37 44
SIR 121 23.46156604732564 118 38 44
SIR 122 23.507944253636484 117 39 44
SIR 123 23.54477487089116 116 40 44
SIR 124 23.572359698185284 116 39 45
SIR 125 23.650995179687083 115 40 45
SIR 126 23.673148607168915 114 41 45
SIR 127 23.71836945552121 114 40 46
SIR 128 23.728098190373526 113 41 46
SIR 129 23.742431084155264 112 42 46
SIR 130 23.920218768522016 111 43 46
SIR 131 24.2426641287601 111 42 47
SIR 132 24.258047767024877 111 41 48
SIR 133 24.40265327329424 111 40 49
SIR 134 24.729410050013552 110 41 49
SIR 135 24.73768933685732 110 40 50
SIR 136 24.814358421026114 109 41 50
SIR 137 25.061975111394286 109 40 51
SIR 138 25.15587658998156 109 39 52
SIR 139 25.20747030259082 108 40 52
SIR 140 25.578307411921397 107 41 52
SIR 141 25.83732236467087 106 42 52
SIR 142 25.897675153296035 106 41 53
SIR 143 25.906768383817145 106 40 54
SIR 144 25.955537733283492 106 39 55
SIR 145 26.110555003643498 106 38 56
SIR 146 26.113556135682234 105 39 56
SIR 147 26.40522957944908 104 40 56
SIR 148 26.6291067296028 103 41 56
SIR 149 26.647978503028305 102 42 56
SIR 150 26.691357952319038 102 41 57
SIR 151 26.70313219020324 101 42 57
SIR 152 26.81496770064748 101 41 58
SIR 153 26.823966675076704 101 40 59
SIR 154 26.939870832122665 100 41 59
SIR 155 26.988001928560028 100 40 60
SIR 156 27.053940183360165 99 41 60
SIR 157 27.161074648049762 99 40 61
SIR 158 27.189726713802173 99 39 62
SIR 159 27.332789501600676 98 40 62
SIR 160 27.56185159330633 97 41 62
SIR 161 27.619610686728723 96 42 62
SIR 162 27.77516771448224 95 43 62
SIR 163 27.799551840913097 94 44 62
SIR 164 28.042210116888427 93 45 62
SIR 165 28.10965815638211 92 46 62
SIR 166 28.286096151142033 92 45 63
SIR 167 28.33990395724035 91 46 63
SIR 168 28.470763649698405 91 45 64
SIR 169 28.67209669858861 91 44 65
SIR 170 28.962337697701418 90 45 65
SIR 171 29.07555328738193 90 44 66
SIR 172 29.094673846404785 89 45 66
SIR 173 29.19635158546178 89 44 67
SIR 174 29.53673962085029 89 43 68
SIR 175 29.61330738357063 89 42 69
SIR 176 29.73910427419135 89 41 70
SIR 177 29.741485071036987 89 40 71
SIR 178 29.923900384456008 88 41 71
SIR 179 30.067854790835305 88 40 72
SIR 180 30.29382279735454 87 41 72
SIR 181 30.444494980166194 86 42 72
SIR 182 30.868776697595397 85 43 72
SIR 183 30.9192871140478 85 42 73
SIR 184 31.015231736289405 85 41 74
SIR 185 31.018596411631815 85 40 75
SIR 186 31.03585365140631 85 39 76
SIR 187 31.121236994806342 84 40 76
SIR 188 31.185554043784293 83 41 76
SIR 189 31.227305739396897 82 42 76
SIR 190 31.751354735158248 82 41 77
SIR 191 31.885121156904678 81 42 77
SIR 192 31.88744212523153 80 43 77
SIR 193 31.950992134089116 80 42 78
SIR 194 32.091173620839875 79 43 78
SIR 195 32.13794219614539 79 42 79
SIR 196 32.35782375475226 78 43 79
SIR 197 32.48685140310966 78 42 80
SIR 198 33.44704780810272 77 43 80
SIR 199 34.26646323407684 77 42 81
SIR 200 34.26792854416681 77 41 82
SIR 201 34.79985355443617 77 40 83
SIR 202 35.277745227212556 76 41 83
SIR 203 35.29600916108032 76 40 84
SIR 204 35.34187421777632 76 39 85
SIR 205 35.64987306532284 75 40 85
SIR 206 35.747167534024165 75 39 86
SIR 207 35.9034508526151 74 40 86
SIR 208 36.017232653789115 74 39 87
SIR 209 36.02314575861109 73 40 87
SIR 210 36.040817976153996 72 41 87
SIR 211 36.105705599430024 71 42 87
SIR 212 36.12558027583832 70 43 87
SIR 213 36.29683087963031 70 42 88
SIR 214 36.33911403136606 70 41 89
SIR 215 36.679024110200146 70 40 90
SIR 216 36.85623210822428 70 39 91
SIR 217 36.9881312502713 69 40 91
SIR 218 37.487679534546935 68 41 91
SIR 219 37.82403905266184 68 40 92
SIR 220 37.856383176229905 68 39 93
SIR 221 37.91428445091127 68 38 94
SIR 222 38.33864327764447 67 39 94
SIR 223 38.81016270589081 66 40 94
SIR 224 39.12510274250886 65 41 94
SIR 225 39.16042581726677 64 42 94
SIR 226 39.82999457713512 64 41 95
SIR 227 39.845347690361834 63 42 95
SIR 228 39.98596249788478 63 41 96
SIR 229 40.040960141367194 63 40 97
SIR 230 40.91024474147935 62 41 97
SIR 231 41.07593369807477 62 40 98
SIR 232 41.11920871545135 61 41 98
SIR 233 41.57513233108522 61 40 99
SIR 234 41.80596377351289 61 39 100
SIR 235 41.84403401326331 60 40 100
SIR 236 41.84906416821969 60 39 101
SIR 237 41.96977551399932 60 38 102
SIR 238 42.55119756521746 59 39 102
SIR 239 42.85327827765358 58 40 102
SIR 240 43.08575220625752 58 39 103
SIR 241 43.12836624358249 57 40 103
SIR 242 43.17318818439654 57 39 104
SIR 243 43.30969926883296 56 40 104
SIR 244 43.57837178007544 55 41 104
SIR 245 43.65008451304161 54 42 104
SIR 246 43.65923252366365 53 43 104
SIR 247 43.69955757272075 52 44 104
SIR 248 43.763799888296916 52 43 105
SIR 249 43.87649776765605 52 42 106
SIR 250 44.02002625214911 52 41 107
SIR 251 44.251238343681656 52 40 108
SIR 252 44.38784427703446 52 39 109
SIR 253 44.822300216530806 52 38 110
SIR 254 45.27143749413828 52 37 111
SIR 255 45.53777693019427 52 36 112
SIR 256 45.646734485488736 51 37 112
SIR 257 45.887051248037686 50 38 112
SIR 258 46.04185284512779 49 39 112
SIR 259 46.163399784308396 49 38 113
SIR 260 46.5300159074126 48 39 113
SIR 261 46.80606240520719 48 38 114
SIR 262 46.98271486910754 48 37 115
SIR 263 47.082291742589824 48 36 116
SIR 264 47.336009535520894 48 35 117
SIR 265 47.34847884172612 48 34 118
SIR 266 47.676284475089155 47 35 118
SIR 267 47.80946838415757 46 36 118
SIR 268 47.860902464170735 45 37 118
SIR 269 47.915031434264385 44 38 118
SIR 270 48.09126590653723 44 37 119
SIR 271 48.127169210250436 44 36 120
SIR 272 48.18435678049927 44 35 121
SIR 273 48.606661026016056 44 34 122
SIR 274 48.649398660869274 43 35 122
SIR 275 48.70120254611813 43 34 123
SIR 276 48.84785916679189 43 33 124
SIR 277 49.20197120855617 42 34 124
SIR 278 49.533980495362336 41 35 124
SIR 279 49.56238011061992 41 34 125
SIR 280 49.65805175345016 41 33 126
SIR 281 49.6781305642008 41 32 127
SIR 282 49.827334830348256 41 31 128
SIR 283 50.5562750793562 41 30 129
SIR 284 50.78169047177869 41 29 130
SIR 285 50.93543954241851 41 28 131
SIR 286 51.03802256375869 41 27 132
SIR 287 51.046237663995065 41 26 133
SIR 288 51.250346296048995 41 25 134
SIR 289 51.444280933618444 41 24 135
SIR 290 51.61981024278013 41 23 136
SIR 291 51.96984236839386 40 24 136
SIR 292 52.059624574879344 39 25 136
SIR 293 52.067563608937355 39 24 137
SIR 294 52.61057069585348 38 25 137
SIR 295 52.66710808961271 37 26 137
SIR 296 52.864759872536816 37 25 138
SIR 297 53.15850005060341 36 26 138
SIR 298 53.95771947568776 35 27 138
SIR 299 54.40312644969987 34 28 138
SIR 300 54.471778302862226 33 29 138
SIR 301 54.53216678649052 33 28 139
SIR 302 55.257610288357334 32 29 139
SIR 303 55.42580639551856 32 28 140
SIR 304 55.50811201345523 32 27 141
SIR 305 55.518575601063624 32 26 142
SIR 306 55.79950658601004 32 25 143
SIR 307 55.875182655034564 32 24 144
SIR 308 55.89101241701692 31 25 144
SIR 309 56.071942615185144 30 26 144
SIR 310 56.16302146532061 30 25 145
SIR 311 56.50214125177529 30 24 146
SIR 312 56.536147761113696 30 23 147
SIR 313 56.812192666323554 29 24 147
SIR 314 57.41387983064616 28 25 147
SIR 315 57.59146727387618 28 24 148
SIR 316 58.893780280369214 28 23 149
SIR 317 59.437824868885784 27 24 149
SIR 318 59.59632194791166 27 23 150
SIR 319 59.76286514797575 27 22 151
SIR 320 60.24421263876201 26 23 151
SIR 321 60.2477906713401 26 22 152
SIR 322 60.31438739483639 26 21 153
SIR 323 60.31486494750751 26 20 154
SIR 324 60.79343838286565 26 19 155
SIR 325 60.9652292597859 25 20 155
SIR 326 61.05599964497016 25 19 156
SIR 327 61.59518473845385 25 18 157
SIR 328 61.639029916373666 25 17 158
SIR 329 61.90684032090599 24 18 158
SIR 330 61.9193967922639 24 17 159
SIR 331 62.51040213645965 24 16 160
SIR 332 62.55356646233066 24 15 161
SIR 333 62.789092925273074 23 16 161
SIR 334 63.682190726482425 23 15 162
SIR 335 63.85638091329114 23 14 163
SIR 336 64.07576611467101 22 15 163
SIR 337 65.01750991578996 22 14 164
SIR 338 65.42162573535333 22 13 165
SIR 339 69.07024285705073 22 12 166
SIR 340 69.40061132402656 22 11 167
SIR 341 75.21433037301777 22 10 168
SIR 342 75.71598427812846 21 11 168
SIR 343 76.23539715480841 21 10 169
SIR 344 76.59007674808755 21 9 170
SIR 345 77.47189140677821 21 8 171
SIR 346 78.87957337529394 20 9 171
SIR 347 79.95586040694128 20 8 172
SIR 348 79.99690768403342 20 7 173
SIR 349 80.73810714353867 20 6 174
SIR 350 81.2980510310943 20 5 175
SIR 351 82.36578277676442 20 4 176
SIR 352 84.2044459575891 19 5 176
SIR 353 84.58579862922103 19 4 177
SIR 354 93.04994414492188 19 3 178
SIR 355 98.91423972503593 19 2 179
SIR 356 99.47775390989564 19 1 180
SIR 357 128.4740205646557 18 2 180
