action step time popS popI popR
- 0 0.0 45 5 0
SIR 1 5.1186498104205524 45 4 1
SIR 2 5.895215785277385 45 3 2
SIR 3 5.962752428020038 44 4 2
SIR 4 7.214812395720212 43 5 2
SIR 5 8.408374662420641 43 4 3
SIR 6 10.389758549438811 43 3 4
SIR 7 10.430244049513682 43 2 5
SIR 8 10.648314716231203 43 1 6
SIR 9 16.565932111962024 42 2 6
SIR 10 26.09446142818721 42 1 7
SIR 11 33.09087702937573 41 2 7
SIR 12 39.022631139926794 40 3 7
SIR 13 39.319645205658226 39 4 7
SIR 14 42.95807695381255 38 5 7
SIR 15 44.76644780734057 38 4 8
SIR 16 47.377636315682764 38 3 9
SIR 17 48.95952842891525 37 4 9
SIR 18 50.24657256475569 37 3 10
SIR 19 50.528005980714845 37 2 11
SIR 20 55.25037773072245 37 1 12
SIR 21 60.68897817988916 37 0 13
