action step time popS popI popR
- 0 0.0 195 5 0
SIR 1 1.6208792082421297 195 4 1
SIR 2 1.812015811484524 194 5 1
SIR 3 2.417511879127957 193 6 1
SIR 4 2.7407293372580397 192 7 1
SIR 5 2.7627766512642675 192 6 2
SIR 6 2.891132961039935 192 5 3
SIR 7 2.9835775658226935 191 6 3
SIR 8 4.38413582060565 191 5 4
SIR 9 4.92369962714749 190 6 4
SIR 10 5.384467824543545 189 7 4
SIR 11 6.2336680908576625 188 8 4
SIR 12 6.451881503381397 187 9 4
SIR 13 6.928414033691609 186 10 4
SIR 14 6.982678745081179 186 9 5
SIR 15 7.086975528738405 185 10 5
SIR 16 7.293680009734926 184 11 5
SIR 17 7.406323540574017 184 10 6
SIR 18 7.649909557449662 183 11 6
SIR 19 7.7894798872926145 182 12 6
SIR 20 7.860589495474028 182 11 7
SIR 21 7.883493653175761 182 10 8
SIR 22 7.958010711280271 181 11 8
SIR 23 8.087566395689839 181 10 9
SIR 24 8.241080195237682 181 9 10
SIR 25 8.306458550867356 181 8 11
SIR 26 8.747316907663436 181 7 12
SIR 27 8.808655005785312 181 6 13
SIR 28 8.917639933305026 180 7 13
SIR 29 10.166013291224463 179 8 13
SIR 30 10.500854006746708 179 7 14
SIR 31 10.768463233213797 179 6 15
SIR 32 10.925514211966558 179 5 16
SIR 33 11.168704151808779 178 6 16
SIR 34 11.834496526891096 177 7 16
SIR 35 12.283057291688925 177 6 17
SIR 36 13.60254306643401 176 7 17
SIR 37 16.1520484900831 176 6 18
SIR 38 17.07058262186052 176 5 19
SIR 39 17.404802694915283 175 6 19
SIR 40 18.062019721829106 174 7 19
SIR 41 18.666751176868367 173 8 19
SIR 42 20.12790066323617 172 9 19
SIR 43 21.291177661412554 171 10 19
SIR 44 21.603482622993877 171 9 20
SIR 45 21.692100363007402 170 10 20
SIR 46 21.863562117787293 170 9 21
SIR 47 21.868901969224364 169 10 21
SIR 48 22.054956147491946 168 11 21
SIR 49 22.17986060899799 168 10 22
SIR 50 22.515468621645436 168 9 23
SIR 51 23.101235880192156 167 10 23
SIR 52 23.10176508780625 166 11 23
SIR 53 23.573633105405904 165 12 23
SIR 54 23.626238092334333 164 13 23
SIR 55 23.629537436831093 163 14 23
SIR 56 23.774346883519865 162 15 23
SIR 57 23.96926743761736 161 16 23
SIR 58 24.010430275887146 160 17 23
SIR 59 24.451690108438353 160 16 24
SIR 60 24.50059158356494 159 17 24
SIR 61 24.67131476889752 158 18 24
SIR 62 24.73654096332799 158 17 25
SIR 63 24.791123894683444 157 18 25
SIR 64 24.820493461910363 157 17 26
SIR 65 25.038130281917834 157 16 27
SIR 66 25.168932052240386 156 17 27
SIR 67 25.205754801068455 155 18 27
SIR 68 25.45963891474938 155 17 28
SIR 69 25.804158244852335 154 18 28
SIR 70 25.877408758431237 154 17 29
SIR 71 26.62290760135066 153 18 29
SIR 72 26.70318868074296 153 17 30
SIR 73 26.824992234896502 153 16 31
SIR 74 27.297419063120547 153 15 32
SIR 75 27.344613668300557 152 16 32
SIR 76 28.344949021682858 151 17 32
SIR 77 28.568716368722335 150 18 32
SIR 78 28.65677026412062 150 17 33
SIR 79 28.74268036986128 149 18 33
SIR 80 28.77714776322999 149 17 34
SIR 81 29.021525296434074 149 16 35
SIR 82 29.039288390083623 148 17 35
SIR 83 29.05246744302035 147 18 35
SIR 84 29.054017710209113 146 19 35
SIR 85 29.797528385096598 146 18 36
SIR 86 29.919964549206085 146 17 37
SIR 87 30.036460743263458 145 18 37
SIR 88 30.17002394567756 144 19 37
SIR 89 30.60425395348818 143 20 37
SIR 90 31.148427751971653 142 21 37
SIR 91 31.558900240339945 141 22 37
SIR 92 31.630107228910465 140 23 37
SIR 93 31.670639473368645 139 24 37
SIR 94 31.720658453741468 138 25 37
SIR 95 31.934310087107573 138 24 38
SIR 96 32.28209287871282 138 23 39
SIR 97 32.300830375002384 138 22 40
SIR 98 32.35428480210422 138 21 41
SIR 99 32.61050225980252 137 22 41
SIR 100 32.640967294165705 136 23 41
SIR 101 33.09421396837104 135 24 41
SIR 102 33.2480215470893 135 23 42
SIR 103 33.2587449783762 135 22 43
SIR 104 33.59041161105444 134 23 43
SIR 105 33.688740521076454 134 22 44
SIR 106 34.00776059922506 134 21 45
SIR 107 34.06097673838653 133 22 45
SIR 108 34.10997285367719 132 23 45
SIR 109 34.15722434600499 132 22 46
SIR 110 34.208988768760356 131 23 46
SIR 111 34.459316670994966 131 22 47
SIR 112 34.952166189928846 131 21 48
SIR 113 35.16889211830966 130 22 48
SIR 114 35.55792676849456 130 21 49
SIR 115 35.6377759386471 129 22 49
SIR 116 36.20675714677655 128 23 49
SIR 117 36.32782065868827 128 22 50
SIR 118 37.514516473923635 127 23 50
SIR 119 37.579320868706155 127 22 51
SIR 120 37.97272155857056 126 23 51
SIR 121 37.998586514809546 125 24 51
SIR 122 38.088267722705446 124 25 51
SIR 123 38.12296855991793 123 26 51
SIR 124 38.340312207997194 122 27 51
SIR 125 38.36781013853455 121 28 51
SIR 126 38.629055950708775 121 27 52
SIR 127 38.638017752909796 120 28 52
SIR 128 38.68757339223131 119 29 52
SIR 129 38.8096819436688 118 30 52
SIR 130 39.03493632482522 117 31 52
SIR 131 39.23097672166858 117 30 53
SIR 132 39.62039078592393 117 29 54
SIR 133 39.76875325105596 117 28 55
SIR 134 39.837323165311425 116 29 55
SIR 135 39.90185942732865 116 28 56
SIR 136 39.96387176320015 116 27 57
SIR 137 39.990461405075244 115 28 57
SIR 138 40.05965679443097 115 27 58
SIR 139 40.1957598903621 114 28 58
SIR 140 40.19645448388587 113 29 58
SIR 141 40.30281742504007 112 30 58
SIR 142 40.54394136818212 111 31 58
SIR 143 40.64534605337851 110 32 58
SIR 144 41.10467228224411 109 33 58
SIR 145 41.13206617942504 109 32 59
SIR 146 41.22192747227842 109 31 60
SIR 147 41.74665049682196 109 30 61
SIR 148 42.06983127651985 109 29 62
SIR 149 42.14275171206704 108 30 62
SIR 150 42.17247042363512 108 29 63
SIR 151 42.23845640046232 107 30 63
SIR 152 42.43545128278175 107 29 64
SIR 153 42.47045195120157 107 28 65
SIR 154 42.60445871317683 106 29 65
SIR 155 42.76388219126509 106 28 66
SIR 156 42.831994406410125 106 27 67
SIR 157 42.89056843928636 106 26 68
SIR 158 43.03563544708735 106 25 69
SIR 159 43.296630851458595 105 26 69
SIR 160 43.521085273147186 105 25 70
SIR 161 43.57908006178559 104 26 70
SIR 162 43.697478362806535 103 27 70
SIR 163 43.98296842223122 102 28 70
SIR 164 44.60849639115099 102 27 71
SIR 165 44.63800824820263 102 26 72
SIR 166 44.83289824292622 101 27 72
SIR 167 44.9606855294841 100 28 72
SIR 168 44.96258546366871 99 29 72
SIR 169 45.126898829228494 98 30 72
SIR 170 45.17768181906964 97 31 72
SIR 171 45.429103470888656 96 32 72
SIR 172 45.55969505462174 95 33 72
SIR 173 46.0421732305457 95 32 73
SIR 174 46.19010094718429 94 33 73
SIR 175 46.28658967340041 93 34 73
SIR 176 46.60649019718272 92 35 73
SIR 177 46.64057203262811 91 36 73
SIR 178 47.056434269280295 91 35 74
SIR 179 47.15507358645419 91 34 75
SIR 180 47.40037418208515 91 33 76
SIR 181 47.46825943026827 91 32 77
SIR 182 47.49340415145441 91 31 78
SIR 183 47.53165086142619 91 30 79
SIR 184 47.57864613142124 90 31 79
SIR 185 47.95871762659629 89 32 79
