action step time popS popI popR
- 0 0.0 195 5 0
SIR 1 0.02464352452173668 194 6 0
SIR 2 0.6018691778906657 193 7 0
SIR 3 1.2359052788688767 193 6 1
SIR 4 2.328006889662788 192 7 1
SIR 5 2.383463989439979 192 6 2
SIR 6 3.5121932556469586 191 7 2
SIR 7 4.723551903868437 191 6 3
SIR 8 6.010754727956241 191 5 4
SIR 9 6.454323970759919 190 6 4
SIR 10 6.939324002857311 190 5 5
SIR 11 9.0083021158907 189 6 5
SIR 12 9.581487974509708 188 7 5
SIR 13 9.605046740559844 187 8 5
SIR 14 9.805913893622549 187 7 6
SIR 15 9.840024746956834 186 8 6
SIR 16 10.317685521434017 185 9 6
SIR 17 10.430361123695441 184 10 6
SIR 18 10.537836437103733 184 9 7
SIR 19 10.677581054899498 183 10 7
SIR 20 12.16730066931747 183 9 8
SIR 21 12.481600926738942 182 10 8
SIR 22 12.639670060358878 181 11 8
SIR 23 12.860267857528036 180 12 8
SIR 24 12.890569485161816 179 13 8
SIR 25 13.717341087917385 178 14 8
SIR 26 13.89124439135949 177 15 8
SIR 27 13.933033014180378 177 14 9
SIR 28 14.971647732498973 176 15 9
SIR 29 15.187813335629269 176 14 10
SIR 30 15.38098025557053 175 15 10
SIR 31 15.488115145220078 174 16 10
SIR 32 15.550524521305658 173 17 10
SIR 33 15.890096755847594 173 16 11
SIR 34 16.6357214131331 173 15 12
SIR 35 16.73929284234158 173 14 13
SIR 36 16.869622642709775 172 15 13
SIR 37 17.016178154441732 172 14 14
SIR 38 17.032729258884313 172 13 15
SIR 39 17.093090449996154 172 12 16
SIR 40 17.307381913772335 171 13 16
SIR 41 17.307985371035212 170 14 16
SIR 42 17.665567738680835 170 13 17
SIR 43 18.3836221500463 169 14 17
SIR 44 18.40059471633705 168 15 17
SIR 45 18.593396401793527 168 14 18
SIR 46 18.61647942168231 167 15 18
SIR 47 18.7183738318088 167 14 19
SIR 48 18.872398204525297 166 15 19
SIR 49 18.945417052883318 165 16 19
SIR 50 18.99879203532521 164 17 19
