action step time popS popI popR
- 0 0.0 45 5 0
SIR 1 1.4991952787083043 45 4 1
SIR 2 1.8514616800425931 45 3 2
SIR 3 1.9792969347258964 44 4 2
SIR 4 3.4882859759711184 44 3 3
SIR 5 6.040045845940629 44 2 4
SIR 6 6.249240482190296 43 3 4
SIR 7 7.9045188895706 43 2 5
SIR 8 12.908978253668884 42 3 5
SIR 9 13.907045657707355 42 2 6
SIR 10 20.962917973271704 42 1 7
SIR 11 36.41180709692991 41 2 7
SIR 12 38.15774324964069 41 1 8
SIR 13 58.63356286579953 40 2 8
SIR 14 59.436540341828945 39 3 8
SIR 15 63.19576872339722 39 2 9
SIR 16 68.24184251364001 39 1 10
SIR 17 73.13489353895524 39 0 11
