action step time popS popI popR
- 0 0.0 95 5 0
SIR 1 0.5028378275795315 94 6 0
SIR 2 0.8517281920466186 94 5 1
SIR 3 1.5699949838914722 94 4 2
SIR 4 2.0034777706360125 93 5 2
SIR 5 5.582021642514203 93 4 3
SIR 6 5.7713235286088675 93 3 4
SIR 7 8.39719448523518 92 4 4
SIR 8 14.248081080769953 92 3 5
SIR 9 16.292752084911168 92 2 6
SIR 10 18.653018870180798 91 3 6
SIR 11 19.171357236170405 90 4 6
SIR 12 20.98345199785129 90 3 7
SIR 13 21.940997880083856 89 4 7
SIR 14 24.18425689040417 89 3 8
SIR 15 26.599022441536103 89 2 9
SIR 16 30.67994404994736 89 1 10
SIR 17 34.32499225650918 88 2 10
SIR 18 43.78548822870572 87 3 10
SIR 19 44.34078068409103 86 4 10
SIR 20 44.39037743935537 86 3 11
SIR 21 46.52074275700842 85 4 11
SIR 22 48.67647274354707 84 5 11
SIR 23 53.024533118508145 83 6 11
SIR 24 57.01096961659344 82 7 11
SIR 25 57.67150763916817 82 6 12
SIR 26 57.8210165542438 81 7 12
SIR 27 57.95447344142383 81 6 13
SIR 28 58.68983539277478 80 7 13
SIR 29 58.910790966607884 79 8 13
SIR 30 60.34553773522354 79 7 14
SIR 31 61.63151098498933 79 6 15
SIR 32 62.22368057365114 79 5 16
SIR 33 62.48829848359649 79 4 17
SIR 34 63.60404238854696 79 3 18
SIR 35 64.19612553455165 79 2 19
SIR 36 68.23542635763728 78 3 19
SIR 37 70.24826347935753 77 4 19
SIR 38 70.71855387163728 76 5 19
SIR 39 72.77331476384771 75 6 19
SIR 40 74.80698744459342 74 7 19
SIR 41 76.31919178887192 74 6 20
SIR 42 77.02972504135863 73 7 20
SIR 43 77.43157881309799 73 6 21
SIR 44 78.58769286398514 73 5 22
SIR 45 82.20925714380009 73 4 23
SIR 46 82.50366198935568 73 3 24
SIR 47 86.34419571777227 73 2 25
SIR 48 93.35874184522774 73 1 26
SIR 49 103.34774514285911 73 0 27
