action step time popS popI popR
- 0 0.0 120 5 0
SIR 1 0.3938566803420701 120 4 1
SIR 2 1.5112636960211647 120 3 2
SIR 3 4.01294358943837 120 2 3
SIR 4 7.16209502179756 119 3 3
SIR 5 7.8808736467473945 119 2 4
SIR 6 8.781459839050662 119 1 5
SIR 7 10.899961776173033 118 2 5
SIR 8 11.03793167578104 118 1 6
SIR 9 11.916326896895823 117 2 6
SIR 10 12.86070783481293 116 3 6
SIR 11 13.868575413978869 116 2 7
SIR 12 15.360410039541048 115 3 7
SIR 13 16.19192787320949 115 2 8
SIR 14 17.841256252110078 114 3 8
SIR 15 17.984373302544043 113 4 8
SIR 16 18.054750183646792 113 3 9
SIR 17 18.569714995700974 113 2 10
SIR 18 21.264276540864905 113 1 11
SIR 19 25.48689444893205 113 0 12
