action step time popS popI popR
- 0 0.0 145 5 0
SIR 1 0.30255517436370644 145 4 1
SIR 2 0.880567038558594 144 5 1
SIR 3 1.3398327554336338 143 6 1
SIR 4 2.0957634567996966 143 5 2
SIR 5 2.6167311440310606 142 6 2
SIR 6 3.034786098609339 142 5 3
SIR 7 4.438751650156332 141 6 3
SIR 8 5.26017143361846 140 7 3
SIR 9 6.506430533057786 140 6 4
SIR 10 6.940201649903278 139 7 4
SIR 11 7.639751287625577 138 8 4
SIR 12 7.776186257323288 137 9 4
SIR 13 7.778566479220939 136 10 4
SIR 14 8.003310270473339 135 11 4
SIR 15 8.106113510260943 135 10 5
SIR 16 8.17418386241326 134 11 5
SIR 17 8.251032287340271 134 10 6
SIR 18 8.315944275711413 134 9 7
SIR 19 8.980473874680197 134 8 8
SIR 20 10.70916698898901 133 9 8
SIR 21 10.715005256344236 132 10 8
SIR 22 12.268878846386233 132 9 9
SIR 23 12.296101291681659 131 10 9
SIR 24 12.854532173800672 130 11 9
SIR 25 13.713128985402674 129 12 9
SIR 26 13.833849565865393 128 13 9
SIR 27 13.872707269777809 128 12 10
SIR 28 14.464114940215845 127 13 10
SIR 29 14.567778065890792 126 14 10
SIR 30 14.759797556151547 125 15 10
SIR 31 14.930071035957502 124 16 10
SIR 32 15.032387801159679 123 17 10
SIR 33 15.253545945703866 122 18 10
SIR 34 15.850319230578956 121 19 10
SIR 35 16.211073507766574 121 18 11
SIR 36 16.228886199347063 121 17 12
SIR 37 16.389734164165205 120 18 12
SIR 38 16.869129048044776 119 19 12
SIR 39 16.890412522870164 118 20 12
SIR 40 17.752160616505712 117 21 12
SIR 41 18.1239670985002 116 22 12
SIR 42 18.358104713060953 115 23 12
SIR 43 18.692179083657315 114 24 12
SIR 44 18.704616810089203 113 25 12
SIR 45 18.708067529762946 112 26 12
SIR 46 18.74205603372365 111 27 12
SIR 47 18.979786002619253 110 28 12
SIR 48 19.193755136441222 109 29 12
SIR 49 19.20830491432276 108 30 12
SIR 50 19.616133264796144 107 31 12
SIR 51 20.13027940026552 107 30 13
SIR 52 20.24238525415978 107 29 14
SIR 53 20.2744663287419 106 30 14
SIR 54 20.652252123777124 106 29 15
SIR 55 20.69064828945839 106 28 16
SIR 56 20.89718310932831 106 27 17
SIR 57 20.948376589181773 106 26 18
SIR 58 21.001327390558654 106 25 19
SIR 59 21.230742560238557 105 26 19
SIR 60 21.385464441744475 104 27 19
SIR 61 22.2585858137229 103 28 19
SIR 62 22.462153128876686 102 29 19
SIR 63 22.495606233948937 101 30 19
SIR 64 22.689962940121212 101 29 20
SIR 65 22.736233418407227 101 28 21
SIR 66 22.796954848118993 101 27 22
SIR 67 22.863022977868294 100 28 22
SIR 68 23.04657050308981 100 27 23
SIR 69 23.10785258607376 99 28 23
SIR 70 23.158347665802953 98 29 23
SIR 71 23.329674418823505 98 28 24
SIR 72 23.390453360526642 97 29 24
SIR 73 23.39465488552769 96 30 24
SIR 74 23.825991821205285 96 29 25
SIR 75 23.92273286538009 96 28 26
SIR 76 23.996128109478832 95 29 26
SIR 77 24.185377866960103 95 28 27
SIR 78 24.287378247466528 95 27 28
SIR 79 24.295144510498705 94 28 28
SIR 80 24.370030975400287 94 27 29
SIR 81 24.389299357218313 94 26 30
SIR 82 24.524774911227436 94 25 31
SIR 83 24.858272666163614 93 26 31
SIR 84 25.069508291231255 93 25 32
SIR 85 25.11586312481328 93 24 33
SIR 86 25.465759827152272 93 23 34
SIR 87 25.583169801617043 92 24 34
SIR 88 26.410702500789284 92 23 35
