action step time popS popI popR
- 0 0.0 70 5 0
SIR 1 1.1227353784655827 70 4 1
SIR 2 2.3085600029246303 69 5 1
SIR 3 2.4014166596816535 69 4 2
SIR 4 3.587758433808537 69 3 3
SIR 5 6.391905697119059 69 2 4
SIR 6 7.933547266370935 68 3 4
SIR 7 8.023251410367637 68 2 5
SIR 8 8.389734167668939 67 3 5
SIR 9 8.74919851658717 67 2 6
SIR 10 11.599239476851306 67 1 7
SIR 11 12.415211201482979 66 2 7
SIR 12 14.921160328560623 66 1 8
SIR 13 20.77874610009307 65 2 8
SIR 14 21.773341489322586 64 3 8
SIR 15 23.703138729672308 64 2 9
SIR 16 24.169777076714293 63 3 9
SIR 17 24.92707973618276 63 2 10
SIR 18 25.52050830268186 63 1 11
SIR 19 26.836631414487893 62 2 11
SIR 20 26.90357473176482 62 1 12
SIR 21 32.64159255807699 62 0 13
