action step time popS popI popR
- 0 0.0 170 5 0
SIR 1 0.5992363019639421 170 4 1
SIR 2 6.472383299459744 169 5 1
SIR 3 7.178761234423737 169 4 2
SIR 4 7.868445027840124 169 3 3
SIR 5 10.129009141062998 169 2 4
SIR 6 11.162494986644571 168 3 4
SIR 7 11.32984703334707 167 4 4
SIR 8 12.442972404396736 167 3 5
SIR 9 16.269793660242254 167 2 6
SIR 10 18.678102535375057 166 3 6
SIR 11 21.35202583450428 165 4 6
SIR 12 22.184168506124514 165 3 7
SIR 13 23.66113539087707 164 4 7
SIR 14 23.79638786172909 164 3 8
SIR 15 25.642659320304475 163 4 8
SIR 16 27.519002091273798 162 5 8
SIR 17 27.71227000497548 162 4 9
SIR 18 27.75513736497968 162 3 10
SIR 19 28.89771039211337 162 2 11
SIR 20 29.143051210310453 162 1 12
SIR 21 31.392166817362945 161 2 12
SIR 22 31.74701508088293 160 3 12
SIR 23 36.09529638988385 159 4 12
SIR 24 36.25032574266825 158 5 12
SIR 25 36.465487968598325 158 4 13
SIR 26 37.98165287019364 158 3 14
SIR 27 39.0071627387024 157 4 14
SIR 28 39.09313093737061 157 3 15
SIR 29 43.04255754809727 156 4 15
SIR 30 45.56264214002443 155 5 15
SIR 31 45.66697895964494 154 6 15
SIR 32 46.82964980280464 154 5 16
SIR 33 46.896017123099405 154 4 17
SIR 34 47.58868453114517 154 3 18
SIR 35 49.556352859893565 153 4 18
SIR 36 49.64947771591245 152 5 18
SIR 37 49.8317953487365 152 4 19
SIR 38 53.014211912978425 152 3 20
SIR 39 53.34438544081659 151 4 20
SIR 40 53.727329539345476 150 5 20
SIR 41 53.79498601361598 150 4 21
SIR 42 56.214958944889396 149 5 21
SIR 43 56.68060331745207 149 4 22
SIR 44 56.938328614509416 148 5 22
SIR 45 58.098048136997356 148 4 23
SIR 46 58.85335434649377 147 5 23
SIR 47 61.17420941814983 146 6 23
SIR 48 61.86938758023445 145 7 23
SIR 49 62.07811044566822 145 6 24
SIR 50 62.51678312224357 144 7 24
SIR 51 63.43103275053896 143 8 24
SIR 52 63.476967239792685 143 7 25
SIR 53 63.53633744348228 142 8 25
SIR 54 64.05927095733456 141 9 25
SIR 55 64.57436720756641 140 10 25
