action step time popS popI popR
- 0 0.0 95 5 0
SIR 1 0.3844111920307453 95 4 1
SIR 2 0.6268562235408781 94 5 1
SIR 3 1.219316246294905 94 4 2
SIR 4 2.823021464887138 94 3 3
SIR 5 3.2936804303243608 93 4 3
SIR 6 5.090696615466001 93 3 4
SIR 7 5.686015721193002 92 4 4
SIR 8 5.938404550756213 92 3 5
SIR 9 10.096259434503786 91 4 5
SIR 10 10.294879277831853 91 3 6
SIR 11 15.71494981645583 91 2 7
SIR 12 17.66171384465275 90 3 7
SIR 13 19.51207633804076 89 4 7
SIR 14 20.433567510615514 88 5 7
SIR 15 22.56209155862107 88 4 8
SIR 16 22.628165866246164 87 5 8
SIR 17 24.451218014787123 87 4 9
SIR 18 26.98326466767887 87 3 10
SIR 19 28.951930177241366 86 4 10
SIR 20 31.61247032712876 86 3 11
SIR 21 33.87129349748336 86 2 12
SIR 22 39.05257089719888 85 3 12
SIR 23 41.332275844908935 85 2 13
SIR 24 41.50094760356165 85 1 14
SIR 25 42.10795268601775 85 0 15
