action step time popS popI popR
- 0 0.0 95 5 0
SIR 1 1.270307881082056 94 6 0
SIR 2 2.2867000469263417 94 5 1
SIR 3 3.0382054988614176 93 6 1
SIR 4 3.5974856195391696 92 7 1
SIR 5 5.700405054052197 91 8 1
SIR 6 5.794657605729119 90 9 1
SIR 7 7.255860492462332 89 10 1
SIR 8 7.740502742549256 89 9 2
SIR 9 8.258669483409017 89 8 3
SIR 10 8.806045330044343 88 9 3
SIR 11 8.81545245687257 88 8 4
SIR 12 10.56988585570862 87 9 4
SIR 13 11.408467356381589 87 8 5
SIR 14 12.42712217091167 87 7 6
SIR 15 13.35400920063047 86 8 6
SIR 16 15.40035856795339 85 9 6
SIR 17 15.979592735875164 84 10 6
SIR 18 16.080469541273118 84 9 7
SIR 19 16.204762944956528 84 8 8
SIR 20 16.411921489499186 84 7 9
SIR 21 17.124446260044692 83 8 9
SIR 22 17.44861570970469 83 7 10
SIR 23 17.632224292970697 83 6 11
SIR 24 17.712052918037383 82 7 11
SIR 25 18.050192875049206 82 6 12
SIR 26 18.903822018267448 81 7 12
SIR 27 19.386100484145985 81 6 13
SIR 28 20.531897560590814 81 5 14
SIR 29 21.487289333022066 80 6 14
SIR 30 22.06321752286254 80 5 15
SIR 31 23.86223225197358 80 4 16
SIR 32 29.356300650878033 80 3 17
SIR 33 29.658254904021348 80 2 18
SIR 34 33.383648539353 79 3 18
SIR 35 37.58081397303547 79 2 19
SIR 36 40.6468752901214 79 1 20
SIR 37 43.47649906624989 78 2 20
SIR 38 50.81580842487935 77 3 20
SIR 39 50.96897413671093 77 2 21
SIR 40 51.275828242564444 77 1 22
SIR 41 54.38718434415798 77 0 23
