action step time popS popI popR
- 0 0.0 120 5 0
SIR 1 0.1550214124713779 119 6 0
SIR 2 0.9453671030448699 118 7 0
SIR 3 1.5921190060299426 117 8 0
SIR 4 1.648141628139163 117 7 1
SIR 5 2.412849373619463 116 8 1
SIR 6 2.684909139188772 116 7 2
SIR 7 3.019312736536348 116 6 3
SIR 8 3.7880990778931767 116 5 4
SIR 9 7.529232082141299 115 6 4
SIR 10 11.21417181969548 114 7 4
SIR 11 14.201647144583326 113 8 4
SIR 12 14.393617381877494 113 7 5
SIR 13 14.40199870598008 113 6 6
SIR 14 15.718992431546907 112 7 6
SIR 15 17.413599279870457 111 8 6
SIR 16 17.507754282356636 111 7 7
SIR 17 17.65191684210138 111 6 8
SIR 18 17.697591488397013 110 7 8
SIR 19 18.031458718404284 109 8 8
SIR 20 18.116616423379824 108 9 8
SIR 21 18.33323964068865 107 10 8
SIR 22 19.088733499466166 107 9 9
SIR 23 19.40393497825779 107 8 10
SIR 24 19.830226659227673 106 9 10
SIR 25 20.206092064067697 106 8 11
SIR 26 20.706972752151216 105 9 11
SIR 27 21.58041692181376 105 8 12
SIR 28 21.81717748082036 104 9 12
SIR 29 21.844045178794175 104 8 13
SIR 30 21.8735888464272 104 7 14
SIR 31 22.2233126745464 103 8 14
SIR 32 25.91194251542445 102 9 14
SIR 33 26.33950800777032 102 8 15
SIR 34 27.959955953663197 101 9 15
SIR 35 28.605057874853564 101 8 16
SIR 36 28.783608751707153 101 7 17
SIR 37 30.951669196529203 100 8 17
SIR 38 31.207169253633243 99 9 17
SIR 39 31.249129617627528 98 10 17
SIR 40 31.711682355600963 97 11 17
SIR 41 32.005425820538086 96 12 17
SIR 42 32.04930430219575 96 11 18
SIR 43 32.88568701552327 96 10 19
SIR 44 33.096566119029866 96 9 20
SIR 45 33.63227255514682 96 8 21
SIR 46 36.33726382879127 95 9 21
SIR 47 37.62038599782462 95 8 22
SIR 48 38.762634929863474 95 7 23
SIR 49 38.890352996738 95 6 24
SIR 50 40.609265155120134 95 5 25
SIR 51 40.79830667258603 95 4 26
SIR 52 42.734859945330165 94 5 26
SIR 53 43.38466152476073 94 4 27
SIR 54 43.419582362874465 93 5 27
SIR 55 43.634223099124064 92 6 27
SIR 56 44.197474611975544 92 5 28
SIR 57 45.66696122378283 92 4 29
SIR 58 45.79200608960178 91 5 29
SIR 59 46.425556059368006 91 4 30
SIR 60 49.41665235157668 91 3 31
SIR 61 53.98430762495961 90 4 31
SIR 62 54.220070511856036 90 3 32
SIR 63 55.789707347310774 89 4 32
SIR 64 59.325877957561794 89 3 33
SIR 65 62.94249566381082 88 4 33
SIR 66 63.39536374015708 87 5 33
SIR 67 63.68442568526022 86 6 33
SIR 68 64.4672726857459 86 5 34
SIR 69 65.44191134384842 85 6 34
SIR 70 68.50861378349657 84 7 34
SIR 71 68.55148432009267 83 8 34
SIR 72 69.20160485657381 83 7 35
SIR 73 70.05546087729923 82 8 35
SIR 74 70.92451228486284 82 7 36
SIR 75 71.06419759758202 82 6 37
SIR 76 71.35478521320204 81 7 37
SIR 77 73.43737668217791 81 6 38
SIR 78 73.89001545217992 80 7 38
SIR 79 73.9522846582503 79 8 38
SIR 80 75.99173025157992 79 7 39
SIR 81 76.95189141442785 78 8 39
SIR 82 77.49319662551144 78 7 40
SIR 83 78.83861970657752 77 8 40
SIR 84 79.00929924717478 77 7 41
SIR 85 82.76326166313876 77 6 42
SIR 86 84.92547861652169 76 7 42
SIR 87 85.02841540704101 76 6 43
SIR 88 86.72124792361389 75 7 43
SIR 89 87.23339155966076 74 8 43
SIR 90 88.45548850190335 73 9 43
SIR 91 88.48150262925327 72 10 43
SIR 92 88.51194568939273 71 11 43
SIR 93 89.07139780120187 71 10 44
SIR 94 89.57843498629593 71 9 45
SIR 95 90.632576618621 71 8 46
SIR 96 91.78345196795028 71 7 47
SIR 97 91.89360057774968 71 6 48
SIR 98 91.9239484326598 71 5 49
SIR 99 92.60052088603355 71 4 50
SIR 100 92.78981470346196 71 3 51
SIR 101 93.93933758799051 71 2 52
SIR 102 94.23187568491886 71 1 53
SIR 103 101.66610001176979 71 0 54
