action step time popS popI popR
- 0 0.0 170 5 0
SIR 1 0.2636760726110315 169 6 0
SIR 2 2.2133715413634367 169 5 1
SIR 3 3.6818339113822143 169 4 2
SIR 4 4.831382830179079 168 5 2
SIR 5 5.37179691889255 167 6 2
SIR 6 6.0122125329087295 167 5 3
SIR 7 7.231922117925201 166 6 3
SIR 8 8.596274881001081 166 5 4
SIR 9 9.415336259492067 165 6 4
SIR 10 10.667986501223828 165 5 5
SIR 11 11.25259115169225 164 6 5
SIR 12 12.492022767975595 164 5 6
SIR 13 13.883467990145354 163 6 6
SIR 14 14.862409888016396 162 7 6
SIR 15 14.886150821618902 162 6 7
SIR 16 15.311968612916417 161 7 7
SIR 17 15.560802719431829 160 8 7
SIR 18 15.786166435750266 160 7 8
SIR 19 16.34949394624045 160 6 9
SIR 20 16.68709107742821 159 7 9
SIR 21 17.061865049355735 158 8 9
SIR 22 18.842744632782672 157 9 9
SIR 23 19.639498389380996 156 10 9
SIR 24 20.577530238751056 155 11 9
SIR 25 21.05489932550047 154 12 9
SIR 26 21.34166957749126 154 11 10
SIR 27 21.907892974649894 154 10 11
SIR 28 22.088393438633563 153 11 11
SIR 29 22.16020677778957 152 12 11
SIR 30 22.61089751213761 152 11 12
SIR 31 22.7393215900233 151 12 12
SIR 32 22.986282078048927 151 11 13
SIR 33 23.011084874394967 151 10 14
SIR 34 23.245984166579788 150 11 14
SIR 35 26.37735316062899 149 12 14
SIR 36 26.568282002001787 149 11 15
SIR 37 26.583609174557807 148 12 15
SIR 38 27.480652859594652 147 13 15
SIR 39 28.355883668556995 146 14 15
SIR 40 28.458568959768076 146 13 16
SIR 41 29.80667392592362 146 12 17
SIR 42 29.882430628602915 146 11 18
SIR 43 30.068084283920204 145 12 18
SIR 44 30.272843747831242 144 13 18
SIR 45 30.409134979298205 144 12 19
SIR 46 30.978792695743028 143 13 19
SIR 47 31.050562959935 142 14 19
SIR 48 31.166149383921915 142 13 20
SIR 49 31.566963925253322 141 14 20
SIR 50 31.61804880726171 140 15 20
SIR 51 32.06869808416144 140 14 21
SIR 52 32.405123376092455 140 13 22
SIR 53 32.92903443474337 139 14 22
SIR 54 33.4193550639862 138 15 22
SIR 55 33.63628144728076 137 16 22
SIR 56 33.728683338208434 136 17 22
SIR 57 33.9024621929087 135 18 22
SIR 58 34.07652008407477 135 17 23
SIR 59 34.37805435995771 135 16 24
SIR 60 34.666930167490484 134 17 24
SIR 61 35.85556627056733 133 18 24
SIR 62 36.070767280313184 132 19 24
SIR 63 36.1921670748048 131 20 24
SIR 64 36.24246280519237 131 19 25
SIR 65 36.5384803733148 130 20 25
SIR 66 36.54763381860683 130 19 26
SIR 67 36.79360174192455 129 20 26
SIR 68 37.362028813421794 128 21 26
SIR 69 37.587525352460105 128 20 27
SIR 70 37.752829799699775 128 19 28
SIR 71 38.328197786420226 127 20 28
SIR 72 38.60237327269968 126 21 28
SIR 73 38.63405983812005 125 22 28
SIR 74 38.75645872722514 125 21 29
SIR 75 38.869541090643025 124 22 29
SIR 76 39.554550395632106 123 23 29
SIR 77 39.99494804815409 123 22 30
SIR 78 40.306828519462314 122 23 30
SIR 79 40.39904864312622 122 22 31
SIR 80 40.400508827129464 121 23 31
SIR 81 40.6505053582626 120 24 31
SIR 82 40.82426849379983 119 25 31
SIR 83 41.121226020138614 119 24 32
SIR 84 41.23633071773025 118 25 32
SIR 85 41.26755107578626 118 24 33
SIR 86 41.267700793693194 118 23 34
SIR 87 41.40097255387065 117 24 34
SIR 88 41.507287368933774 117 23 35
SIR 89 41.507758117611274 117 22 36
SIR 90 41.736362728692626 117 21 37
SIR 91 41.88345088505975 117 20 38
SIR 92 42.16879418654221 117 19 39
SIR 93 42.21619044303997 116 20 39
SIR 94 42.29941947039067 115 21 39
SIR 95 42.414215237995 114 22 39
SIR 96 42.60835837997656 113 23 39
SIR 97 43.044810991597394 112 24 39
SIR 98 43.091156214926684 111 25 39
SIR 99 44.05762759628748 110 26 39
SIR 100 44.204067696328806 110 25 40
SIR 101 44.46947722173319 109 26 40
SIR 102 44.56849771014968 108 27 40
SIR 103 44.8621708702437 107 28 40
SIR 104 44.9155722663963 106 29 40
SIR 105 45.20100214716185 105 30 40
SIR 106 45.32230167611178 104 31 40
SIR 107 45.33288023201542 103 32 40
SIR 108 45.63991439672477 102 33 40
SIR 109 45.77207589973065 101 34 40
SIR 110 45.789946768709825 101 33 41
SIR 111 45.97453025658445 101 32 42
SIR 112 46.11295377391341 101 31 43
SIR 113 46.11379063380787 101 30 44
SIR 114 46.12804864301515 100 31 44
SIR 115 46.59128347411202 100 30 45
SIR 116 46.692208087378305 100 29 46
SIR 117 46.76465518877047 100 28 47
SIR 118 46.8395088822033 99 29 47
SIR 119 46.883251058114595 98 30 47
SIR 120 46.9208965490615 97 31 47
SIR 121 46.92378157994258 96 32 47
SIR 122 47.0400645456733 96 31 48
SIR 123 47.33338608869325 96 30 49
SIR 124 47.4407950959323 96 29 50
SIR 125 47.56914023547571 95 30 50
SIR 126 47.70835140887991 95 29 51
SIR 127 48.02146887834272 94 30 51
SIR 128 48.05817563911129 94 29 52
SIR 129 48.07526286941298 93 30 52
SIR 130 48.08471687912382 92 31 52
SIR 131 48.25768280756316 91 32 52
SIR 132 48.34273752839371 91 31 53
SIR 133 48.449256349285164 91 30 54
SIR 134 48.61533880631144 90 31 54
SIR 135 49.06619855895579 89 32 54
SIR 136 49.303435237031366 89 31 55
SIR 137 49.61525844972492 88 32 55
SIR 138 49.79010050111973 88 31 56
SIR 139 49.942657521196764 88 30 57
SIR 140 49.985048750821804 87 31 57
SIR 141 50.071596926554946 86 32 57
SIR 142 50.11804451840247 86 31 58
SIR 143 50.293240437224874 85 32 58
SIR 144 50.29828957404531 85 31 59
SIR 145 50.416853305897256 85 30 60
SIR 146 50.55320971164037 85 29 61
SIR 147 50.55355430177949 84 30 61
SIR 148 50.606099242416576 84 29 62
SIR 149 50.7268339386872 83 30 62
SIR 150 50.80520801130813 82 31 62
SIR 151 50.826284883292175 81 32 62
SIR 152 51.02378528826286 81 31 63
SIR 153 51.12822873796191 80 32 63
SIR 154 51.2424426985303 80 31 64
SIR 155 51.312952572910355 80 30 65
SIR 156 51.4443955805871 80 29 66
SIR 157 51.457620836551285 80 28 67
SIR 158 51.492702339006684 79 29 67
SIR 159 51.5310693254026 79 28 68
SIR 160 51.86914390418288 79 27 69
SIR 161 51.96840497847747 78 28 69
SIR 162 52.1940187386488 78 27 70
SIR 163 52.19870790761682 77 28 70
SIR 164 52.24418982421263 77 27 71
SIR 165 52.64971561462574 77 26 72
SIR 166 52.96067123660449 77 25 73
SIR 167 53.03565331907328 77 24 74
SIR 168 53.129819066925464 77 23 75
SIR 169 53.16301982737004 77 22 76
SIR 170 53.22100388355666 77 21 77
SIR 171 53.64932716032495 77 20 78
SIR 172 53.880685038038834 76 21 78
SIR 173 54.333843565739166 75 22 78
SIR 174 54.367178875930016 74 23 78
SIR 175 54.40334536434954 74 22 79
SIR 176 54.895455288714636 74 21 80
SIR 177 55.03550802463507 74 20 81
SIR 178 55.23229584110118 73 21 81
SIR 179 55.42147801621209 73 20 82
SIR 180 55.451255283426484 73 19 83
SIR 181 55.563904865793226 73 18 84
SIR 182 56.3196524594995 73 17 85
SIR 183 56.53892506870863 73 16 86
SIR 184 56.83908477948248 73 15 87
SIR 185 57.81674308559837 73 14 88
SIR 186 58.069887417978045 73 13 89
SIR 187 58.28616031421062 73 12 90
SIR 188 58.85304071555517 72 13 90
SIR 189 59.61163618003081 72 12 91
SIR 190 59.61641177755047 71 13 91
SIR 191 60.039597401274946 71 12 92
SIR 192 61.65738823450456 70 13 92
SIR 193 61.763109791964965 70 12 93
SIR 194 62.18124052375043 69 13 93
SIR 195 62.25318095926986 68 14 93
SIR 196 62.36918685347083 67 15 93
SIR 197 62.431082028773 67 14 94
SIR 198 62.84829478165727 66 15 94
SIR 199 63.36808394961268 66 14 95
SIR 200 63.76163289505734 66 13 96
SIR 201 63.88018745559653 65 14 96
SIR 202 64.35439218526196 64 15 96
SIR 203 64.39212170024503 64 14 97
SIR 204 64.60081921617761 64 13 98
SIR 205 65.61632615146209 64 12 99
SIR 206 65.8436280507324 64 11 100
SIR 207 66.68379718771395 64 10 101
SIR 208 66.87384316546832 63 11 101
SIR 209 68.0709285273612 63 10 102
SIR 210 68.68135454211405 63 9 103
SIR 211 70.16826397960125 63 8 104
SIR 212 70.51809751848783 63 7 105
SIR 213 73.25753303689743 62 8 105
SIR 214 73.3401482745239 62 7 106
SIR 215 73.62536110215387 62 6 107
SIR 216 75.37277857390488 62 5 108
SIR 217 77.18056072866366 62 4 109
SIR 218 78.50903816932967 62 3 110
SIR 219 78.80488586750076 62 2 111
SIR 220 81.20229271059738 62 1 112
SIR 221 84.44045126861242 61 2 112
SIR 222 84.52318180128023 61 1 113
SIR 223 89.6360902874638 60 2 113
SIR 224 102.27632972716331 60 1 114
SIR 225 106.54910101364155 60 0 115
