action step time popS popI popR
- 0 0.0 145 5 0
SIR 1 1.3098459497445953 145 4 1
SIR 2 1.4174499771357763 144 5 1
SIR 3 1.4517679564015167 144 4 2
SIR 4 1.8733666926846786 143 5 2
SIR 5 3.2908253188526304 142 6 2
SIR 6 4.424641438514452 141 7 2
SIR 7 5.699940331607995 140 8 2
SIR 8 5.721460465142535 140 7 3
SIR 9 5.973597585984546 139 8 3
SIR 10 6.742936442817174 138 9 3
SIR 11 8.231629708648226 137 10 3
SIR 12 10.199874516080607 136 11 3
SIR 13 10.468150280721192 135 12 3
SIR 14 10.895459595039073 134 13 3
SIR 15 10.926533504623896 134 12 4
SIR 16 10.952078036126439 134 11 5
SIR 17 11.04222417990997 133 12 5
SIR 18 11.37510319142548 132 13 5
SIR 19 11.459526797317332 131 14 5
SIR 20 11.544503283020878 130 15 5
SIR 21 12.43655948535114 129 16 5
SIR 22 12.624218446586562 128 17 5
SIR 23 12.680586397845687 128 16 6
SIR 24 13.04019272404722 128 15 7
SIR 25 13.60940012869306 128 14 8
SIR 26 13.741412616773776 128 13 9
SIR 27 14.361530279114124 127 14 9
SIR 28 14.529850099610021 127 13 10
SIR 29 15.082478225199432 126 14 10
SIR 30 15.370001531539298 125 15 10
SIR 31 15.76661721691955 124 16 10
SIR 32 15.770454930851391 123 17 10
SIR 33 16.073386121498622 122 18 10
SIR 34 16.7645010918013 122 17 11
SIR 35 16.845865139696805 122 16 12
SIR 36 16.990441557007056 122 15 13
SIR 37 17.123378701488523 122 14 14
SIR 38 17.261076340984605 121 15 14
SIR 39 17.309510841229 121 14 15
SIR 40 17.34171258789294 121 13 16
SIR 41 17.482308635745245 120 14 16
SIR 42 17.77182794297137 119 15 16
SIR 43 17.83463641505668 119 14 17
SIR 44 18.41539462044204 118 15 17
SIR 45 19.458114414978418 118 14 18
SIR 46 19.686834347255918 118 13 19
SIR 47 20.3394288285196 118 12 20
SIR 48 20.64779125716625 118 11 21
SIR 49 20.68001627525012 117 12 21
SIR 50 20.724783080171996 116 13 21
SIR 51 21.669861960092454 115 14 21
SIR 52 22.152981578238517 114 15 21
SIR 53 22.303028311912502 113 16 21
SIR 54 22.524570447317735 112 17 21
SIR 55 22.929256962609397 112 16 22
SIR 56 23.067140729656003 111 17 22
SIR 57 23.209893408006067 110 18 22
SIR 58 23.42040583503879 109 19 22
SIR 59 23.833814473327305 108 20 22
SIR 60 24.343539814793303 107 21 22
SIR 61 24.473716425337816 106 22 22
SIR 62 24.610706078136726 106 21 23
SIR 63 24.701508983971433 106 20 24
SIR 64 24.88310184823877 106 19 25
SIR 65 25.09143692212744 106 18 26
SIR 66 25.156467863651148 105 19 26
SIR 67 25.355645459772038 104 20 26
SIR 68 25.434463842162646 104 19 27
SIR 69 26.30852402519309 103 20 27
SIR 70 26.325508606703664 102 21 27
SIR 71 27.067646764814185 102 20 28
SIR 72 27.130601475240788 102 19 29
SIR 73 27.518570944185313 101 20 29
SIR 74 27.52801880818111 100 21 29
SIR 75 27.571926263343105 99 22 29
SIR 76 28.050686426297293 99 21 30
SIR 77 28.10272591465227 98 22 30
SIR 78 28.8369284678556 97 23 30
SIR 79 28.960465633357213 97 22 31
SIR 80 29.130407319947967 97 21 32
SIR 81 29.15014456205385 96 22 32
SIR 82 29.663413273998035 96 21 33
SIR 83 29.869355337974916 96 20 34
SIR 84 30.211106933552237 95 21 34
SIR 85 30.29983075995376 94 22 34
SIR 86 31.171110631164577 93 23 34
SIR 87 31.54705137589234 92 24 34
SIR 88 31.754877272343382 91 25 34
SIR 89 31.7568806380169 91 24 35
SIR 90 31.854240087508174 90 25 35
SIR 91 31.906892111711144 90 24 36
SIR 92 32.02775014989807 89 25 36
SIR 93 32.04105920338273 88 26 36
SIR 94 32.066960569813 87 27 36
SIR 95 32.09206227560825 86 28 36
SIR 96 32.27611320906782 86 27 37
SIR 97 32.699345689033244 85 28 37
SIR 98 33.095591307256704 85 27 38
SIR 99 33.352850428037414 85 26 39
SIR 100 33.3723952085695 85 25 40
SIR 101 33.492423363020876 84 26 40
SIR 102 33.89637154756211 84 25 41
SIR 103 33.90036701476431 83 26 41
SIR 104 34.15844162321066 83 25 42
SIR 105 34.25279093940207 82 26 42
SIR 106 34.293627163459576 81 27 42
SIR 107 34.308710786195135 81 26 43
SIR 108 34.602580311276675 80 27 43
SIR 109 34.9529913557994 80 26 44
SIR 110 34.95318717169172 80 25 45
SIR 111 35.61655413786685 79 26 45
SIR 112 35.65352119352096 79 25 46
SIR 113 35.780665692082735 78 26 46
SIR 114 36.16067402566541 78 25 47
SIR 115 36.515945575498606 78 24 48
SIR 116 36.73624709891235 77 25 48
SIR 117 36.816543704005284 77 24 49
SIR 118 36.97597181655467 76 25 49
SIR 119 37.25823029803328 75 26 49
SIR 120 37.33074506247711 75 25 50
SIR 121 37.44248199996145 75 24 51
SIR 122 37.46349015145067 75 23 52
SIR 123 37.6058178946492 75 22 53
SIR 124 37.74932086992217 75 21 54
SIR 125 37.83309338139841 75 20 55
SIR 126 38.05300110199767 75 19 56
SIR 127 38.41147128982722 75 18 57
SIR 128 38.47242122117379 75 17 58
SIR 129 38.73037395600037 75 16 59
