action step time popS popI popR
- 0 0.0 170 5 0
SIR 1 0.05011245217467638 169 6 0
SIR 2 1.1373261486659942 168 7 0
SIR 3 1.8643312612397063 167 8 0
SIR 4 3.273962130103027 166 9 0
SIR 5 3.4208771841667636 166 8 1
SIR 6 3.6876397989595944 165 9 1
SIR 7 4.380964462960291 165 8 2
SIR 8 5.311243598902753 165 7 3
SIR 9 8.380103337802236 164 8 3
SIR 10 8.709670698416982 163 9 3
SIR 11 9.177066127680813 163 8 4
SIR 12 9.325871289149307 162 9 4
SIR 13 10.158404400108534 162 8 5
SIR 14 11.53046483031644 162 7 6
SIR 15 11.551734747174399 162 6 7
SIR 16 11.565437637340716 161 7 7
SIR 17 11.995854724827861 160 8 7
SIR 18 12.04667444689771 160 7 8
SIR 19 13.973775081075047 160 6 9
SIR 20 14.95189617871353 159 7 9
SIR 21 15.04341979500088 159 6 10
SIR 22 15.965281857826746 159 5 11
SIR 23 16.87056332385431 158 6 11
SIR 24 18.075716840724134 157 7 11
SIR 25 18.167100541284874 156 8 11
SIR 26 18.18257884655405 156 7 12
SIR 27 18.332778584757985 156 6 13
SIR 28 19.214167275067425 156 5 14
SIR 29 20.142772925878944 155 6 14
SIR 30 21.561676226084234 154 7 14
SIR 31 22.656174323711117 153 8 14
SIR 32 23.88046816228743 153 7 15
SIR 33 25.153980510149616 152 8 15
SIR 34 25.369408642933273 152 7 16
SIR 35 25.4806934083583 151 8 16
SIR 36 25.859713084964937 151 7 17
SIR 37 26.09784501818133 150 8 17
SIR 38 26.15907883848074 150 7 18
SIR 39 27.37837277583754 149 8 18
SIR 40 28.426734357972336 149 7 19
SIR 41 28.851019891106322 149 6 20
SIR 42 29.636003425651197 149 5 21
SIR 43 30.19253235800157 148 6 21
SIR 44 31.48619461721931 147 7 21
SIR 45 32.59517080810621 146 8 21
SIR 46 33.67343173564565 145 9 21
SIR 47 34.32697503211252 144 10 21
SIR 48 35.81767942445701 143 11 21
SIR 49 36.00346951792445 143 10 22
SIR 50 36.50997913460576 143 9 23
SIR 51 36.96040163369733 143 8 24
SIR 52 37.40414552416167 143 7 25
SIR 53 37.63793298388349 142 8 25
SIR 54 37.6634290292538 142 7 26
SIR 55 37.86761769065864 141 8 26
SIR 56 37.99803513090921 140 9 26
SIR 57 38.0431925123187 140 8 27
SIR 58 38.435056603578225 140 7 28
SIR 59 38.6480883115481 140 6 29
SIR 60 40.02041630257312 139 7 29
SIR 61 40.57962618751772 138 8 29
SIR 62 40.99319993227739 137 9 29
SIR 63 41.23065871894444 136 10 29
SIR 64 41.65019881726436 136 9 30
SIR 65 41.96418799810366 136 8 31
SIR 66 42.98455497242478 135 9 31
SIR 67 44.36539548735384 135 8 32
SIR 68 44.68818244835513 135 7 33
SIR 69 45.33699129571798 135 6 34
SIR 70 47.74769667699572 134 7 34
SIR 71 48.82591919553393 134 6 35
SIR 72 49.20010736108034 134 5 36
SIR 73 49.35932187458018 133 6 36
SIR 74 49.39925658440527 132 7 36
SIR 75 50.0317158937465 131 8 36
SIR 76 50.73978971710537 130 9 36
SIR 77 50.956610651275824 129 10 36
SIR 78 51.13734660178351 128 11 36
SIR 79 51.17032169265851 128 10 37
SIR 80 51.21681409558571 127 11 37
SIR 81 51.28994652477334 126 12 37
SIR 82 51.312216709743296 125 13 37
SIR 83 51.326687845026505 124 14 37
SIR 84 51.56752068962779 124 13 38
SIR 85 51.673239461227126 123 14 38
SIR 86 52.05654701682026 122 15 38
SIR 87 52.1870404723438 122 14 39
SIR 88 52.341460015689734 122 13 40
SIR 89 52.726556149406555 122 12 41
SIR 90 52.77381253686953 121 13 41
SIR 91 53.1151528381449 121 12 42
SIR 92 53.416300578924606 121 11 43
SIR 93 53.64029646536484 120 12 43
SIR 94 53.794838210391575 119 13 43
SIR 95 54.885299683817685 118 14 43
SIR 96 54.89063389236123 117 15 43
SIR 97 55.193778420458706 116 16 43
SIR 98 56.14238646554644 115 17 43
SIR 99 56.23897479291283 115 16 44
SIR 100 56.410879263716005 114 17 44
SIR 101 56.99310866369175 114 16 45
SIR 102 57.08803076317506 114 15 46
SIR 103 57.34398831090745 114 14 47
SIR 104 57.53069051689784 114 13 48
SIR 105 57.98113905936071 113 14 48
SIR 106 58.35451933547258 113 13 49
SIR 107 58.43941963448337 112 14 49
SIR 108 58.56311263553376 112 13 50
SIR 109 58.80196740036936 112 12 51
SIR 110 59.07242487693506 111 13 51
SIR 111 59.21022827230725 111 12 52
SIR 112 59.340590573924025 110 13 52
SIR 113 59.35716324694606 110 12 53
SIR 114 59.46225564286694 110 11 54
SIR 115 60.04307568660798 109 12 54
SIR 116 60.0675935766591 108 13 54
SIR 117 60.13950568570591 108 12 55
SIR 118 60.90377201962339 107 13 55
SIR 119 61.110867622565976 107 12 56
SIR 120 61.260417793306885 106 13 56
SIR 121 61.400149555700864 106 12 57
SIR 122 62.14120178487905 106 11 58
SIR 123 62.384250981689945 105 12 58
SIR 124 62.84978282106702 105 11 59
SIR 125 62.98739797000385 105 10 60
SIR 126 63.189119689599316 104 11 60
SIR 127 63.265611085639975 104 10 61
SIR 128 63.58103466843305 104 9 62
SIR 129 64.08547004142206 104 8 63
SIR 130 65.19211561422462 103 9 63
SIR 131 65.35837922481122 103 8 64
SIR 132 65.96034571095096 102 9 64
SIR 133 65.97603769303838 101 10 64
SIR 134 68.3705512372803 100 11 64
SIR 135 68.40494966630705 100 10 65
SIR 136 68.44488633690537 100 9 66
SIR 137 68.51610178798505 99 10 66
SIR 138 68.6179258206218 99 9 67
SIR 139 68.68752112915013 99 8 68
SIR 140 69.12791572835806 98 9 68
SIR 141 69.15227931714564 97 10 68
SIR 142 69.59266932702364 96 11 68
SIR 143 69.9330513974342 96 10 69
SIR 144 70.40286602106949 95 11 69
SIR 145 70.75027950349939 94 12 69
SIR 146 71.02930584987774 93 13 69
SIR 147 71.36679577874371 92 14 69
SIR 148 71.47530820202714 91 15 69
SIR 149 71.49270257785432 90 16 69
SIR 150 71.75998107638969 90 15 70
SIR 151 73.17370258773792 90 14 71
SIR 152 74.81981328730508 90 13 72
SIR 153 75.83404057643979 90 12 73
SIR 154 75.88178010318794 90 11 74
SIR 155 77.03861912928005 90 10 75
SIR 156 78.00229998881515 90 9 76
SIR 157 78.3596406676954 90 8 77
SIR 158 79.25015773758582 90 7 78
SIR 159 79.76558517294814 90 6 79
SIR 160 80.54505197239689 89 7 79
SIR 161 81.36649919695756 88 8 79
SIR 162 81.42348110996943 87 9 79
SIR 163 81.52034548549962 86 10 79
SIR 164 81.60462003611018 86 9 80
SIR 165 82.70781496978847 85 10 80
SIR 166 84.51072322268647 85 9 81
