action step time popS popI popR
- 0 0.0 45 5 0
SIR 1 0.4328453070401913 44 6 0
SIR 2 0.7577788266318415 44 5 1
SIR 3 0.8036749208966524 43 6 1
SIR 4 1.4318019921398286 43 5 2
SIR 5 2.4429247840580266 42 6 2
SIR 6 3.096009563055923 42 5 3
SIR 7 4.992941359056448 42 4 4
SIR 8 7.019861569268279 41 5 4
SIR 9 11.716890087627348 41 4 5
SIR 10 13.578095396871191 41 3 6
SIR 11 15.49919369812035 40 4 6
SIR 12 15.632979169905948 40 3 7
SIR 13 17.639277557311786 40 2 8
SIR 14 19.181621103435912 40 1 9
SIR 15 19.286459099172145 39 2 9
SIR 16 19.90683063755742 39 1 10
SIR 17 26.827234032427466 38 2 10
SIR 18 27.714570579361105 38 1 11
SIR 19 42.75755977196955 37 2 11
SIR 20 47.73238069300309 37 1 12
SIR 21 67.00669821860372 37 0 13
