action step time popS popI popR
- 0 0.0 45 5 0
SIR 1 1.2807418794294367 45 4 1
SIR 2 3.128362047298679 44 5 1
SIR 3 3.1571501332967364 44 4 2
SIR 4 5.159749329575097 43 5 2
SIR 5 5.561662875011316 42 6 2
SIR 6 6.5243953126874885 41 7 2
SIR 7 8.688589619408603 41 6 3
SIR 8 9.20425706778992 40 7 3
SIR 9 11.676076867807822 39 8 3
SIR 10 11.876528674826439 38 9 3
SIR 11 11.96406899554575 37 10 3
SIR 12 12.2111622445641 37 9 4
SIR 13 12.357920936473896 37 8 5
SIR 14 13.22929744978205 36 9 5
SIR 15 13.328682267220433 36 8 6
SIR 16 16.399173607406325 36 7 7
SIR 17 16.487755644187366 36 6 8
SIR 18 16.760667099651624 35 7 8
SIR 19 18.008724887146418 35 6 9
SIR 20 18.52580301761074 34 7 9
SIR 21 19.089985908333784 34 6 10
SIR 22 19.34935833612207 34 5 11
SIR 23 19.797390281461453 34 4 12
SIR 24 23.607887065574186 34 3 13
SIR 25 24.012254706905324 34 2 14
SIR 26 26.313859511337125 34 1 15
SIR 27 52.275996513984964 33 2 15
SIR 28 54.31893566299301 33 1 16
SIR 29 71.17851018498291 33 0 17
