action step time popS popI popR
- 0 0.0 120 5 0
SIR 1 0.488952215625097 119 6 0
SIR 2 3.227090868288347 118 7 0
SIR 3 5.313439003237434 117 8 0
SIR 4 5.387794151870753 117 7 1
SIR 5 6.0872804908863225 116 8 1
SIR 6 6.435449529895873 115 9 1
SIR 7 6.7114510265782945 114 10 1
SIR 8 7.327364746420098 114 9 2
SIR 9 8.196873334412485 113 10 2
SIR 10 8.264069666833729 112 11 2
SIR 11 8.468230402298625 112 10 3
SIR 12 9.339053157066855 112 9 4
SIR 13 9.381891337154052 112 8 5
SIR 14 9.515845711064326 112 7 6
SIR 15 9.656455559709382 112 6 7
SIR 16 10.10170528581838 112 5 8
SIR 17 10.141531048565138 111 6 8
SIR 18 11.102789711825901 110 7 8
SIR 19 11.10608989088674 110 6 9
SIR 20 12.815164381586623 109 7 9
SIR 21 13.115830073998023 108 8 9
SIR 22 13.76393398797125 108 7 10
SIR 23 13.907144067516144 108 6 11
SIR 24 14.018065660598737 108 5 12
SIR 25 14.614077643877605 107 6 12
SIR 26 14.97337260507604 107 5 13
SIR 27 19.42836467302371 107 4 14
SIR 28 20.610065252943784 106 5 14
SIR 29 21.08410822110782 106 4 15
SIR 30 22.536847837703483 105 5 15
SIR 31 23.37774220132414 105 4 16
SIR 32 24.81294087124869 105 3 17
SIR 33 26.794958637201884 104 4 17
SIR 34 27.794755848174095 103 5 17
SIR 35 27.89834235147254 103 4 18
SIR 36 28.993976277145954 102 5 18
SIR 37 29.1932304514093 101 6 18
SIR 38 29.40231654967199 101 5 19
SIR 39 29.983986629596608 100 6 19
SIR 40 30.28008431223397 100 5 20
SIR 41 30.82277114473107 100 4 21
SIR 42 35.5690390511532 100 3 22
SIR 43 36.274002827046736 99 4 22
SIR 44 36.348254381253575 99 3 23
SIR 45 37.05578416692664 99 2 24
SIR 46 37.080854267264286 99 1 25
SIR 47 44.046464794078204 98 2 25
SIR 48 45.72844746945249 97 3 25
SIR 49 49.13741123251442 96 4 25
SIR 50 53.56781668065205 96 3 26
SIR 51 62.06274298000798 95 4 26
SIR 52 62.843172025392164 94 5 26
SIR 53 64.96704810450144 93 6 26
SIR 54 65.70649601629098 93 5 27
SIR 55 65.9554716803592 92 6 27
SIR 56 66.36122840466523 91 7 27
SIR 57 67.04735997023512 90 8 27
SIR 58 67.43113904798524 90 7 28
SIR 59 68.09505387441665 89 8 28
SIR 60 68.22030762997842 89 7 29
SIR 61 68.43414648730348 88 8 29
SIR 62 68.55844940007209 88 7 30
SIR 63 68.83649300028432 88 6 31
SIR 64 69.88801328115701 88 5 32
SIR 65 74.65899153207519 87 6 32
SIR 66 76.20072507871403 87 5 33
SIR 67 77.43875465896468 86 6 33
SIR 68 80.54121733564313 86 5 34
SIR 69 80.70124164656949 85 6 34
SIR 70 82.7415693977984 84 7 34
SIR 71 83.40611698005087 83 8 34
SIR 72 85.67955577278605 83 7 35
SIR 73 86.81904430271375 82 8 35
SIR 74 87.10039762688211 82 7 36
SIR 75 87.18350698825485 82 6 37
SIR 76 91.74538060441559 82 5 38
SIR 77 91.96521773907445 81 6 38
SIR 78 92.39116133605701 80 7 38
SIR 79 92.92272817644987 80 6 39
SIR 80 94.74432876831449 80 5 40
SIR 81 97.5083541183365 80 4 41
SIR 82 98.47041977987844 79 5 41
SIR 83 101.07916766857991 78 6 41
SIR 84 101.32634722735742 78 5 42
SIR 85 103.48202847196654 77 6 42
SIR 86 103.74234002554896 77 5 43
SIR 87 105.29702127059284 77 4 44
SIR 88 105.68585647308026 76 5 44
SIR 89 105.94183909786561 75 6 44
SIR 90 107.44658575289982 75 5 45
SIR 91 110.19085059080135 75 4 46
SIR 92 111.25708678110041 74 5 46
SIR 93 113.52643101367354 74 4 47
SIR 94 113.66232948333058 73 5 47
SIR 95 114.14335017586325 73 4 48
SIR 96 120.38202030563511 73 3 49
