action step time popS popI popR
- 0 0.0 145 5 0
SIR 1 0.3116786564678157 144 6 0
SIR 2 1.281353635525932 143 7 0
SIR 3 1.5911861199034436 142 8 0
SIR 4 1.7902805181918537 141 9 0
SIR 5 1.810373497763347 141 8 1
SIR 6 1.9881651848784694 141 7 2
SIR 7 3.9621746732483327 141 6 3
SIR 8 6.214882711938673 140 7 3
SIR 9 6.2679561636173355 140 6 4
SIR 10 6.467358111188254 139 7 4
SIR 11 8.202216731231271 139 6 5
SIR 12 9.039987832008629 138 7 5
SIR 13 9.154412181338246 137 8 5
SIR 14 9.480153172509585 137 7 6
SIR 15 10.236309480471805 137 6 7
SIR 16 10.6265399068015 136 7 7
SIR 17 11.825399690844366 136 6 8
SIR 18 12.155409389706035 135 7 8
SIR 19 13.170660802660779 134 8 8
SIR 20 13.717370737268828 134 7 9
SIR 21 13.904967503138534 134 6 10
SIR 22 14.462195277684 133 7 10
SIR 23 17.03019404235353 133 6 11
SIR 24 19.831643865949985 132 7 11
SIR 25 20.257997272626536 131 8 11
SIR 26 20.292143612662663 130 9 11
SIR 27 20.671052669679554 130 8 12
SIR 28 20.697089477517054 129 9 12
SIR 29 21.249542295104657 128 10 12
SIR 30 21.44678939613434 128 9 13
SIR 31 21.626988901401152 127 10 13
SIR 32 22.160190859823757 127 9 14
SIR 33 22.38705379205676 126 10 14
SIR 34 22.579191253687036 125 11 14
SIR 35 23.15321607991056 124 12 14
SIR 36 25.5822934714165 124 11 15
SIR 37 25.599417847316854 124 10 16
SIR 38 26.3703140088199 123 11 16
SIR 39 26.955969536430423 123 10 17
SIR 40 27.909485503539035 122 11 17
SIR 41 28.32769127072692 122 10 18
SIR 42 28.378389566327048 122 9 19
SIR 43 28.97674818677909 121 10 19
SIR 44 29.302974304603392 120 11 19
SIR 45 30.325501608230343 119 12 19
SIR 46 30.939954166301405 118 13 19
SIR 47 31.49426240312975 117 14 19
SIR 48 31.59085858079389 116 15 19
SIR 49 32.366796055926415 116 14 20
SIR 50 32.81001095725726 115 15 20
SIR 51 32.97458024949365 114 16 20
SIR 52 33.008656644224516 114 15 21
SIR 53 33.03521426230229 113 16 21
SIR 54 33.66875310939531 113 15 22
SIR 55 34.19720076309044 112 16 22
SIR 56 34.67017245216941 111 17 22
SIR 57 34.96686773596026 110 18 22
SIR 58 35.018043913603385 110 17 23
SIR 59 35.02732719245273 110 16 24
SIR 60 35.88862674499179 109 17 24
SIR 61 36.125049412828105 109 16 25
SIR 62 36.2375241011442 109 15 26
SIR 63 36.733131368514314 109 14 27
SIR 64 36.805261491744986 109 13 28
SIR 65 37.27251771893418 108 14 28
SIR 66 37.31781500523371 107 15 28
SIR 67 37.672729583129566 106 16 28
SIR 68 37.80327229376452 106 15 29
SIR 69 38.68351319217474 106 14 30
SIR 70 39.80341399830504 106 13 31
SIR 71 39.89527661507258 105 14 31
SIR 72 40.37017833375835 104 15 31
SIR 73 41.529264443544974 104 14 32
SIR 74 41.55104298076598 104 13 33
SIR 75 42.13864899222562 103 14 33
SIR 76 43.55256809351539 103 13 34
SIR 77 43.81035485180109 102 14 34
SIR 78 43.8818190564098 102 13 35
SIR 79 45.101200557082215 102 12 36
SIR 80 45.33952285447024 101 13 36
SIR 81 46.461502250398006 101 12 37
SIR 82 47.5335805077553 101 11 38
SIR 83 47.66139437423677 100 12 38
SIR 84 47.66483191363654 99 13 38
SIR 85 48.10386874045901 99 12 39
SIR 86 48.65685377949672 98 13 39
SIR 87 48.92247842712145 98 12 40
SIR 88 49.11776978751366 97 13 40
SIR 89 49.17991337455866 97 12 41
SIR 90 49.43484193822151 96 13 41
SIR 91 49.54120599677356 95 14 41
SIR 92 50.407475825090536 94 15 41
SIR 93 51.91554367302178 93 16 41
SIR 94 53.037426861948845 92 17 41
SIR 95 53.3081222627922 91 18 41
SIR 96 54.9999918530473 90 19 41
SIR 97 56.06741736701647 90 18 42
SIR 98 56.64041739126095 90 17 43
SIR 99 56.73211004926683 90 16 44
SIR 100 56.75723376921401 90 15 45
SIR 101 56.77671990698509 89 16 45
SIR 102 56.9162361226292 88 17 45
SIR 103 57.44278440125359 88 16 46
SIR 104 57.514529400029026 87 17 46
SIR 105 57.61827797442231 86 18 46
SIR 106 58.0004481665281 85 19 46
SIR 107 58.330917081416345 85 18 47
SIR 108 58.72567684734376 85 17 48
SIR 109 59.847451121938256 84 18 48
SIR 110 60.19451136503633 84 17 49
SIR 111 60.195007515429474 83 18 49
SIR 112 60.34118832152453 82 19 49
SIR 113 60.5306875133979 81 20 49
SIR 114 60.823364341779154 81 19 50
SIR 115 60.9812313331891 81 18 51
SIR 116 61.25287288699402 81 17 52
SIR 117 61.39978523598733 80 18 52
SIR 118 61.716981916599586 80 17 53
SIR 119 62.06714638444856 79 18 53
SIR 120 62.68830553034111 78 19 53
SIR 121 62.7606723000592 78 18 54
SIR 122 62.81398859758953 78 17 55
SIR 123 63.267952638752185 78 16 56
SIR 124 63.39866928296294 78 15 57
SIR 125 63.866567831885625 78 14 58
SIR 126 64.28422668036626 78 13 59
SIR 127 64.40288338494264 78 12 60
SIR 128 65.23689170263701 77 13 60
SIR 129 65.45858853418218 76 14 60
SIR 130 65.58888715877669 75 15 60
SIR 131 65.59612644007923 75 14 61
SIR 132 65.85063279388174 75 13 62
SIR 133 66.24622974611826 75 12 63
SIR 134 66.58284705275649 75 11 64
SIR 135 66.58380931167625 75 10 65
SIR 136 66.82292109754404 74 11 65
SIR 137 67.54104080483356 73 12 65
SIR 138 67.96257324830354 72 13 65
SIR 139 67.98583138818334 72 12 66
SIR 140 68.12895176501281 71 13 66
SIR 141 68.16251826490624 71 12 67
SIR 142 68.42642001945052 71 11 68
SIR 143 68.67544663720132 71 10 69
SIR 144 68.90759724852478 71 9 70
SIR 145 69.23294863172995 71 8 71
SIR 146 69.53258797614309 71 7 72
SIR 147 69.82063826005779 71 6 73
SIR 148 70.05148771838762 70 7 73
SIR 149 70.49460266791883 70 6 74
SIR 150 70.83959828969971 69 7 74
SIR 151 71.58128747500298 69 6 75
SIR 152 71.72158308298624 68 7 75
SIR 153 73.4142155712011 68 6 76
SIR 154 74.54237779994385 68 5 77
SIR 155 75.465069839079 68 4 78
SIR 156 76.65614071927263 67 5 78
SIR 157 76.71788408352153 66 6 78
SIR 158 78.76111064929653 66 5 79
SIR 159 81.16918027980368 65 6 79
SIR 160 82.97561641881795 64 7 79
SIR 161 84.49984333449433 64 6 80
SIR 162 84.50059145685127 64 5 81
SIR 163 85.72561529225189 64 4 82
SIR 164 94.64409958944303 64 3 83
SIR 165 95.74437251035665 63 4 83
SIR 166 96.18335834276338 62 5 83
SIR 167 97.10135729988316 61 6 83
SIR 168 97.19864174347319 61 5 84
SIR 169 97.93792113485796 60 6 84
SIR 170 98.30886396092647 59 7 84
SIR 171 98.52581927305039 59 6 85
SIR 172 98.58249247168222 59 5 86
SIR 173 98.90375825641816 59 4 87
SIR 174 102.33657947178855 59 3 88
SIR 175 113.18939791299287 59 2 89
SIR 176 120.09331307263724 59 1 90
